Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Revenue,833.6,993.3,894.5,874.7,963,"1,004.9",983.5,"1,049.5","1,080.1","1,085.4"
Revenue Growth (YoY),-16.08%,11.05%,2.26%,-9.17%,-4.17%,2.18%,-6.29%,-2.83%,-0.49%,-
Cost of Revenue,370.2,413.1,496,542.4,587.3,621.4,619,631.5,653.3,684.8
Gross Profit,463.4,580.2,398.5,332.3,375.7,383.5,364.5,418,426.8,400.6
"Selling, General & Admin",264,307.7,264.8,205.8,258.2,236.2,210.8,199.2,290.5,189.7
Other Operating Expenses,54.4,53.2,130.1,48,-3.6,51.6,48.7,46.1,45.5,50.1
Operating Expenses,318.4,360.9,394.9,253.8,254.6,287.8,259.5,245.3,336,239.8
Operating Income,145,219.3,3.6,78.5,121.1,95.7,105,172.7,90.8,160.8
Interest Expense / Income,9.2,26.6,22.8,38.1,36.7,42.9,11.7,1.1,1.5,2.2
Other Expense / Income,-3.5,-5.1,-1.7,-11.7,-18.3,-3.4,-1,-0.1,-3.1,-0.3
Pretax Income,139.3,197.8,-17.5,52.1,102.7,56.2,94.3,171.7,92.4,158.9
Income Tax,36.8,51.9,8.4,14.5,29.1,46.5,35.2,67.4,35,62.6
Net Income,102.5,145.9,-25.9,37.6,73.6,9.7,59.1,104.3,57.4,96.3
Net Income Growth,-29.75%,-,-,-48.91%,658.76%,-83.59%,-43.34%,81.71%,-40.39%,-
Shares Outstanding (Basic),31,34,34,34,34,33,33,32,32,-
Shares Outstanding (Diluted),32,35,34,34,34,33,33,32,32,-
Shares Change,-8.24%,3.83%,-1.17%,0.88%,2.10%,1.52%,1.23%,-,-,-
EPS (Basic),3.33,4.36,-0.76,1.10,2.18,0.29,1.81,3.22,1.77,-
EPS (Diluted),3.17,4.14,-0.76,1.10,2.16,0.29,1.80,3.22,1.77,-
EPS Growth,-23.43%,-,-,-49.07%,644.83%,-83.89%,-44.10%,81.92%,-,-
Free Cash Flow Per Share,3.12,4.11,3.63,1.18,0.86,1.92,2.45,2.90,2.98,-
Gross Margin,55.59%,58.41%,44.55%,37.99%,39.01%,38.16%,37.06%,39.83%,39.51%,36.91%
Operating Margin,17.39%,22.08%,0.40%,8.97%,12.58%,9.52%,10.68%,16.46%,8.41%,14.81%
Profit Margin,12.30%,14.69%,-2.90%,4.30%,7.64%,0.97%,6.01%,9.94%,5.31%,8.87%
Free Cash Flow Margin,11.52%,13.86%,13.76%,4.61%,3.03%,6.33%,8.11%,8.94%,8.93%,11.03%
Effective Tax Rate,26.42%,26.24%,-,27.83%,28.33%,82.74%,37.33%,39.25%,37.88%,39.40%
EBITDA,211.2,282,79.5,161.9,185.2,143.6,149.3,214.5,134.6,198.2
EBITDA Margin,25.34%,28.39%,8.89%,18.51%,19.23%,14.29%,15.18%,20.44%,12.46%,18.26%
Depreciation & Amortization,62.7,57.6,74.2,71.7,45.8,44.5,43.3,41.7,40.7,37.1
EBIT,148.5,224.4,5.3,90.2,139.4,99.1,106,172.8,93.9,161.1
EBIT Margin,17.81%,22.59%,0.59%,10.31%,14.48%,9.86%,10.78%,16.46%,8.69%,14.84%
