Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,72.95,67.27,53.66,44.84,43.13,41.96,40.02,38.67,36.16,32.68,Upgrade
Revenue Growth (YoY),8.44%,25.37%,19.67%,3.95%,2.79%,4.84%,3.50%,6.94%,10.65%,12.69%,Upgrade
Cost of Revenue,0,0,0,0,0,0,0,0,7.16,7.12,Upgrade
Gross Profit,72.95,67.27,53.66,44.84,0,0,0,0,29,25.56,Upgrade
Selling & Marketing,0.48,0.21,0.3,0.39,0.42,0.26,0.23,0.2,0,0,Upgrade
General & Administrative,21.47,18.28,16.95,15.36,17.24,15.79,16.27,15.18,23.99,20.9,Upgrade
Other Operating Expenses,0,0,0,0,0,0,0,0,7.16,7.12,Upgrade
Operating Expenses,2.95,0,0,0,0,0,0,0,31.15,28.02,Upgrade
Operating Income,40.05,35.86,30.12,30.57,0,0,16.3,14.71,12.17,11.78,Upgrade
Interest Income,74.08,69.28,61.68,59.72,54.37,47.97,45.43,43.22,0,0,Upgrade
Interest Expense,6,6.67,12.83,18.27,13.36,8.84,7.76,6.84,7.16,7.12,Upgrade
Other Expense / Income,74.08,69.28,61.68,59.72,23.3,24.27,37.67,36.38,-7.16,-7.12,Upgrade
Pretax Income,34.05,29.19,17.29,12.3,17.71,14.86,16.3,14.71,12.17,11.78,Upgrade
Income Tax,7.56,6.7,3.48,2.16,3,3.85,4.46,3.7,3.17,2.98,Upgrade
Net Income,26.49,22.49,13.81,10.14,14.71,11.01,11.84,11.01,9,8.8,Upgrade
Net Income Growth,17.82%,62.87%,36.13%,-31.04%,33.54%,-7.00%,7.60%,22.29%,2.27%,39.46%,Upgrade
Shares Outstanding (Basic),6,7,7,7,7,5,5,5,5,5,Upgrade
Shares Outstanding (Diluted),6,7,7,7,7,6,5,5,5,5,Upgrade
Shares Change,-5.36%,-0.79%,-0.41%,0.35%,18.75%,15.30%,6.78%,0.22%,1.08%,-,Upgrade
EPS (Basic),3.91,3.37,2.04,1.51,2.22,2.00,2.52,2.34,1.92,1.90,Upgrade
EPS (Diluted),3.86,3.30,2.01,1.47,2.14,1.90,2.36,2.34,1.92,1.90,Upgrade
EPS Growth,16.97%,64.18%,36.73%,-31.31%,12.63%,-19.49%,0.79%,22.02%,1.18%,39.46%,Upgrade
Free Cash Flow Per Share,3.63,1.38,2.21,1.94,2.42,2.30,2.89,2.16,2.23,1.36,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,-,-,-,-,80.20%,78.21%,Upgrade
Operating Margin,54.91%,53.31%,56.13%,68.18%,-,-,40.74%,38.03%,33.66%,36.05%,Upgrade
Profit Margin,36.32%,33.43%,25.73%,22.62%,34.10%,26.25%,29.59%,28.46%,24.89%,26.93%,Upgrade
Free Cash Flow Margin,32.05%,13.69%,27.96%,29.18%,37.24%,30.16%,33.91%,26.30%,28.94%,19.31%,Upgrade
Effective Tax Rate,22.20%,22.96%,20.15%,17.57%,16.94%,25.90%,27.36%,25.17%,26.05%,25.30%,Upgrade
EBITDA,40.62,37.81,32,31.84,31.7,24.52,25.02,22.61,20.42,19.95,Upgrade
EBITDA Margin,55.69%,56.21%,59.64%,71.02%,73.50%,58.44%,62.50%,58.48%,56.46%,61.05%,Upgrade
Depreciation & Amortization,2.05,1.95,1.89,1.27,0.64,0.82,0.95,1.07,1.09,1.05,Upgrade
EBIT,38.57,35.86,30.12,30.57,31.06,23.7,24.07,21.55,19.33,18.9,Upgrade
EBIT Margin,52.88%,53.31%,56.13%,68.18%,72.02%,56.49%,60.13%,55.71%,53.46%,57.83%,Upgrade
