Year,2022,2021,2020,2019
Revenue,16.41,13.03,12.6,12.62
Revenue Growth (YoY),25.93%,3.42%,-0.10%,-
Gross Profit,16.41,13.03,12.6,12.62
"Selling, General & Admin",9.57,8.1,6.9,6.79
Other Operating Expenses,1.55,2.84,1.2,1.07
Operating Expenses,11.13,10.94,8.1,7.86
Operating Income,5.28,2.09,4.5,4.75
Pretax Income,5.28,2.09,4.5,4.75
Income Tax,1.1,0.34,0.96,1.02
Net Income,4.18,1.75,3.55,3.73
Net Income Growth,139.03%,-50.65%,-5.03%,-
Shares Outstanding (Basic),7,7,3,-
Shares Change,-,127.18%,-,-
EPS (Basic),0.59,0.25,0.52,1.57
EPS (Diluted),0.59,0.25,0.52,1.56
EPS Growth,136.00%,-51.92%,-66.67%,-
Free Cash Flow Per Share,0.54,0.53,0.93,-
Dividend Per Share,0.120,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,32.20%,16.07%,35.73%,37.67%
Profit Margin,25.49%,13.43%,28.14%,29.60%
Free Cash Flow Margin,24.52%,30.09%,23.92%,33.10%
Effective Tax Rate,20.84%,16.43%,21.25%,21.42%
EBITDA,5.62,2.57,5.08,5.15
EBITDA Margin,34.24%,19.70%,40.31%,40.85%
Depreciation & Amortization,0.34,0.47,0.58,0.4
EBIT,5.28,2.09,4.5,4.75
EBIT Margin,32.20%,16.07%,35.73%,37.67%
