Year,2022,2021,2020,2019,2018,2017
Revenue,"1,385.23","1,397.84","1,126.31","1,845.78",466.77,"1,033.16"
Revenue Growth (YoY),-0.90%,24.11%,-38.98%,295.44%,-54.82%,-
Cost of Revenue,178.57,83.79,103.72,114.7,52.58,111.56
Gross Profit,"1,206.66","1,314.05","1,022.58","1,731.08",414.18,921.6
"Selling, General & Admin",129.26,95.59,94.41,94.61,68.02,102.2
Other Operating Expenses,0,0,0,0,0,-17.91
Operating Expenses,129.26,95.59,94.41,94.61,68.02,84.29
Operating Income,"1,077.4","1,218.46",928.17,"1,636.47",346.16,837.31
Interest Expense / Income,0,0,0,0,0,28.72
Other Expense / Income,-137.59,12.72,5.74,539.85,-205.74,105.11
Pretax Income,"1,214.99","1,205.75",922.43,"1,096.62",551.9,703.48
Income Tax,104.98,109.3,-137.54,158.35,83.84,135.21
Net Income,"1,110.01","1,096.45","1,059.97",938.27,468.06,568.27
Net Income Growth,1.24%,3.44%,12.97%,100.46%,-17.63%,-
Shares Outstanding (Basic),378,246,246,231,231,-
Shares Change,53.74%,-,6.48%,-,-,-
EPS (Basic),7.42,9.62,8.68,8.68,-,-
EPS (Diluted),7.42,9.62,8.44,8.68,-,-
EPS Growth,-22.87%,13.98%,-2.76%,-,-,-
Free Cash Flow Per Share,1.96,3.93,16.14,5.42,-0.02,-
Gross Margin,87.11%,94.01%,90.79%,93.79%,88.73%,89.20%
Operating Margin,77.78%,87.17%,82.41%,88.66%,74.16%,81.04%
Profit Margin,80.13%,78.44%,94.11%,50.83%,100.28%,55.00%
Free Cash Flow Margin,26.71%,34.52%,176.02%,33.88%,-0.58%,10.26%
Effective Tax Rate,8.64%,9.06%,-14.91%,14.44%,15.19%,19.22%
EBITDA,"1,220.78","1,205.79",922.46,"1,096.74",552.24,732.58
EBITDA Margin,88.13%,86.26%,81.90%,59.42%,118.31%,70.91%
Depreciation & Amortization,5.78,0.04,0.03,0.11,0.33,0.38
EBIT,"1,214.99","1,205.75",922.43,"1,096.62",551.9,732.2
EBIT Margin,87.71%,86.26%,81.90%,59.41%,118.24%,70.87%
