Year,2022,2021,2020
"Selling, General & Admin",3.71,0.84,0.03
Other Operating Expenses,0.2,0.94,0.08
Operating Expenses,3.91,1.78,0.11
Operating Income,-3.91,-1.78,-0.11
Other Expense / Income,-11.73,-10.41,-
Pretax Income,7.82,8.63,-0.11
Income Tax,0.72,0,0
Net Income,7.1,8.63,-0.11
Net Income Growth,-17.80%,-,-
Shares Outstanding (Basic),33,34,6
Shares Outstanding (Diluted),33,34,6
Shares Change,-1.04%,459.42%,-
EPS (Basic),0.21,0.26,-0.02
EPS (Diluted),0.21,0.26,-0.02
EPS Growth,-19.23%,-,-
Free Cash Flow Per Share,-0.05,-0.03,-0.01
Effective Tax Rate,9.25%,-,-
EBITDA,7.82,8.63,-0.11
EBIT,7.82,8.63,-0.11
