Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2005
Revenue,984.99,"1,098.5",909.99,"1,106.6",764.87,617.74,384.4,254.22,167.35,139.24,Upgrade
Revenue Growth (YoY),-10.33%,20.72%,-17.77%,44.68%,23.82%,60.70%,51.21%,51.91%,20.19%,79.80%,Upgrade
Cost of Revenue,57.77,57.3,54.49,68.38,36.4,17.22,13.76,9.37,7.9,6.54,Upgrade
Gross Profit,927.22,"1,041.2",855.5,"1,038.22",728.47,600.51,370.64,244.85,159.45,132.7,Upgrade
"Selling, General & Admin",854.62,927.46,746.51,852.03,601.51,504.33,298.33,202.88,138.59,115.78,Upgrade
Research & Development,55.55,52.87,43.64,39.95,26.96,17.93,13.76,10.49,7.46,5.26,Upgrade
Other Operating Expenses,49.81,61.09,66.63,67.11,33.02,21.2,6.44,2.97,14.37,12.76,Upgrade
Operating Expenses,959.98,"1,041.42",856.77,959.09,661.49,543.45,318.53,216.33,160.42,133.81,Upgrade
Operating Income,-32.76,-0.22,-1.28,79.13,66.98,57.06,52.11,28.51,-0.97,-1.11,Upgrade
Interest Expense / Income,26.01,46.87,36.3,20.27,12.44,7.03,0.56,0.17,0,0.02,Upgrade
Other Expense / Income,-3.84,-127.5,30.64,49.51,23.62,28.17,3.69,3.27,-9.85,-4.62,Upgrade
Pretax Income,-54.93,80.41,-68.22,9.35,30.92,21.87,47.86,25.07,8.88,3.49,Upgrade
Income Tax,133.02,11.3,-19.96,-8.48,-65.58,6.29,20.37,-22.97,-0.48,-0.45,Upgrade
Net Income,-187.95,69.12,-48.26,17.83,96.5,15.58,27.49,48.05,9.36,3.95,Upgrade
Net Income Growth,-,-,-,-81.53%,519.46%,-43.34%,-42.78%,413.21%,137.19%,-91.53%,Upgrade
Shares Outstanding (Basic),13,13,13,13,13,12,12,12,11,11,Upgrade
Shares Outstanding (Diluted),13,14,13,15,14,14,13,13,11,11,Upgrade
Shares Change,-6.59%,5.29%,-11.03%,3.70%,3.03%,7.12%,1.85%,12.09%,1.39%,3.18%,Upgrade
EPS (Basic),-14.69,5.24,-3.71,1.39,7.72,1.30,2.33,4.17,0.84,0.36,Upgrade
EPS (Diluted),-14.69,5.05,-3.71,1.22,6.85,1.14,2.15,3.83,0.84,0.36,Upgrade
EPS Growth,-,-,-,-82.19%,500.88%,-46.98%,-43.86%,355.95%,133.33%,-91.74%,Upgrade
Free Cash Flow Per Share,2.46,7.54,-0.28,11.53,7.66,7.59,1.87,2.29,-0.39,0.37,Upgrade
Gross Margin,94.14%,94.78%,94.01%,93.82%,95.24%,97.21%,96.42%,96.31%,95.28%,95.30%,Upgrade
Operating Margin,-3.33%,-0.02%,-0.14%,7.15%,8.76%,9.24%,13.56%,11.22%,-0.58%,-0.80%,Upgrade
Profit Margin,-19.08%,6.29%,-5.30%,1.61%,12.62%,2.52%,7.15%,18.90%,5.59%,2.83%,Upgrade
Free Cash Flow Margin,3.20%,9.06%,-0.39%,13.37%,12.53%,14.68%,5.74%,10.35%,-2.61%,2.92%,Upgrade
Effective Tax Rate,-,14.05%,-,-90.69%,-212.05%,28.77%,42.55%,-91.62%,-5.45%,-12.97%,Upgrade
EBITDA,14.94,200.74,44.25,96.07,74.21,48.97,54.61,28.4,12.26,7.16,Upgrade
EBITDA Margin,1.52%,18.27%,4.86%,8.68%,9.70%,7.93%,14.21%,11.17%,7.33%,5.14%,Upgrade
Depreciation & Amortization,43.85,73.46,76.17,66.45,30.85,20.08,6.19,3.16,3.38,3.65,Upgrade
EBIT,-28.92,127.28,-31.92,29.62,43.36,28.9,48.42,25.25,8.88,3.51,Upgrade
EBIT Margin,-2.94%,11.59%,-3.51%,2.68%,5.67%,4.68%,12.60%,9.93%,5.31%,2.52%,Upgrade
