Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2007
Revenue,"2,720.13","2,709.73","2,217.54","2,052.5","1,899.84","1,689.1","1,519.08","1,404.2","1,337.1","1,229",Upgrade
Revenue Growth (YoY),0.38%,22.20%,8.04%,8.04%,12.48%,11.19%,8.18%,5.02%,8.80%,6.52%,Upgrade
Cost of Revenue,665.75,722.75,615.57,493.82,457.58,416.02,367.66,339.32,311.42,279.93,Upgrade
Gross Profit,"2,054.38","1,986.98","1,601.97","1,558.68","1,442.26","1,273.08","1,151.43","1,064.88","1,025.68",949.07,Upgrade
"Selling, General & Admin",818.91,773.49,600.96,611.75,575.11,507.39,453.4,432.62,413.15,361.42,Upgrade
Other Operating Expenses,684.23,628.24,433.31,415.96,397.76,336.58,313.96,291.44,286.88,291.09,Upgrade
Operating Expenses,"1,503.14","1,401.73","1,034.27","1,027.71",972.88,843.97,767.36,724.06,700.03,652.51,Upgrade
Operating Income,551.25,585.25,567.7,530.97,469.38,429.12,384.07,340.83,325.65,296.55,Upgrade
Interest Expense / Income,27.24,30.62,28.84,28.81,28.81,28.49,28.69,33.51,34.57,35.02,Upgrade
Other Expense / Income,25.22,42.08,32.13,25.05,24.49,21.11,17.78,16.34,13.78,12.51,Upgrade
Pretax Income,498.79,512.55,506.73,477.11,416.08,379.52,337.6,290.98,277.3,249.03,Upgrade
Income Tax,125.78,139.19,120.57,110.72,91.99,29.27,118.18,101.11,95.89,86.31,Upgrade
Net Income,373.01,373.36,386.16,366.39,324.09,350.26,219.41,189.87,181.41,162.73,Upgrade
Net Income Growth,-0.09%,-3.32%,5.40%,13.05%,-7.47%,59.63%,15.56%,4.66%,11.48%,-6.38%,Upgrade
Shares Outstanding (Basic),38,40,40,42,44,46,47,51,55,56,Upgrade
Shares Outstanding (Diluted),38,40,40,42,44,46,47,51,55,57,Upgrade
Shares Change,-3.90%,-1.33%,-5.03%,-3.80%,-3.73%,-3.72%,-6.80%,-6.75%,-3.58%,-9.26%,Upgrade
EPS (Basic),9.77,9.41,9.60,8.65,7.35,7.63,4.59,3.70,3.29,2.87,Upgrade
EPS (Diluted),9.74,9.38,9.57,8.62,7.33,7.61,4.59,3.70,3.29,2.83,Upgrade
EPS Growth,3.84%,-1.99%,11.02%,17.60%,-3.68%,65.80%,24.05%,12.46%,16.25%,4.43%,Upgrade
Free Cash Flow Per Share,19.26,15.99,15.37,10.91,10.59,8.44,5.92,5.05,4.21,2.94,Upgrade
Dividend Per Share,2.200,1.880,1.600,1.360,1.000,0.780,0.700,0.640,0.480,0.440,Upgrade
Dividend Growth,17.02%,17.50%,17.65%,36.00%,28.21%,11.43%,9.38%,33.33%,9.09%,83.33%,Upgrade
Gross Margin,75.53%,73.33%,72.24%,75.94%,75.91%,75.37%,75.80%,75.84%,76.71%,77.22%,Upgrade
Operating Margin,20.27%,21.60%,25.60%,25.87%,24.71%,25.40%,25.28%,24.27%,24.35%,24.13%,Upgrade
Profit Margin,13.71%,13.78%,17.41%,17.85%,17.06%,20.74%,14.44%,13.52%,13.57%,13.24%,Upgrade
Free Cash Flow Margin,26.91%,23.33%,27.77%,22.42%,24.45%,22.78%,18.48%,18.29%,17.19%,13.33%,Upgrade
Effective Tax Rate,25.22%,27.16%,23.79%,23.21%,22.11%,7.71%,35.01%,34.75%,34.58%,34.66%,Upgrade
EBITDA,560.2,573,553.27,524.22,457.31,421.56,380.88,335.49,324.14,294.85,Upgrade
EBITDA Margin,20.59%,21.15%,24.95%,25.54%,24.07%,24.96%,25.07%,23.89%,24.24%,23.99%,Upgrade
Depreciation & Amortization,34.17,29.84,17.7,18.3,12.42,13.55,14.6,11,12.27,10.8,Upgrade
EBIT,526.02,543.17,535.57,505.92,444.89,408.01,366.29,324.49,311.87,284.05,Upgrade
EBIT Margin,19.34%,20.05%,24.15%,24.65%,23.42%,24.16%,24.11%,23.11%,23.32%,23.11%,Upgrade
