Year,2022,2021,2020,2019,2018,2017
Revenue,37.83,39.9,26.75,26.95,28.71,32.01
Revenue Growth (YoY),-5.20%,49.18%,-0.74%,-6.14%,-10.31%,-
Cost of Revenue,9.19,9.29,6.48,6.94,5.91,4.85
Gross Profit,28.63,30.61,20.27,20.01,22.8,27.16
"Selling, General & Admin",9.78,10.09,7.05,7.12,8.38,9.06
Other Operating Expenses,16.47,13.1,11.3,12.14,11.61,11.37
Operating Expenses,26.25,23.2,18.35,19.26,19.99,20.43
Operating Income,2.38,7.42,1.92,0.76,2.81,6.73
Interest Expense / Income,0.03,0.04,0.04,0.03,0.1,0.02
Other Expense / Income,-0.01,-0.26,-0.46,0.12,0.2,-0.07
Pretax Income,2.36,7.63,2.34,0.61,2.5,6.78
Income Tax,1.21,1.79,0.56,0.35,0.77,1.59
Net Income,1.15,5.85,1.77,0.26,1.73,5.19
Net Income Growth,-80.41%,229.84%,577.26%,-84.91%,-66.55%,-
Shares Outstanding (Basic),39,38,38,33,30,30
Shares Outstanding (Diluted),39,38,38,38,38,38
Shares Change,1.46%,0.06%,0.40%,-,-,-
EPS (Basic),0.03,0.15,0.05,0.01,0.06,0.18
EPS (Diluted),0.03,0.15,0.05,0.01,0.05,0.14
EPS Growth,-80.00%,200.00%,400.00%,-80.00%,-64.29%,-
Free Cash Flow Per Share,-0.01,0.19,0.03,0.03,0.09,0.17
Gross Margin,75.69%,76.72%,75.76%,74.26%,79.40%,84.85%
Operating Margin,6.29%,18.59%,7.16%,2.80%,9.78%,21.02%
Profit Margin,3.03%,14.66%,6.63%,0.97%,6.04%,16.20%
Free Cash Flow Margin,-1.57%,17.90%,4.12%,3.06%,9.35%,15.37%
Effective Tax Rate,51.41%,23.39%,24.10%,56.99%,30.65%,23.46%
EBITDA,3.71,8.89,3.36,1.34,3.18,7.22
EBITDA Margin,9.82%,22.28%,12.56%,4.97%,11.07%,22.54%
Depreciation & Amortization,1.33,1.21,0.98,0.7,0.58,0.42
EBIT,2.39,7.68,2.38,0.64,2.6,6.8
EBIT Margin,6.32%,19.23%,8.89%,2.37%,9.06%,21.23%
