Year,2022,2021,2020,2019,2018,2017,2016
Revenue,181.3,167.81,141.53,163.15,154.99,151.03,154.02
Revenue Growth (YoY),8.04%,18.57%,-13.25%,5.27%,2.62%,-1.94%,-
Gross Profit,181.3,167.81,141.53,163.15,154.99,151.03,154.02
"Selling, General & Admin",81.49,75.65,77.38,78.01,75.68,77.41,76.38
Other Operating Expenses,23.62,15.59,14.58,13.02,14.64,16.65,18.06
Operating Expenses,105.11,91.25,91.96,91.03,90.32,94.06,94.43
Operating Income,76.19,76.56,49.57,72.12,64.67,56.97,59.59
Pretax Income,76.19,76.56,49.57,72.12,64.67,56.97,59.59
Income Tax,19.73,20.29,12.73,5.26,0.87,0.87,1.04
Net Income,56.46,56.27,36.85,66.87,63.8,56.1,58.55
Net Income Growth,0.33%,52.72%,-44.90%,4.81%,13.72%,-4.17%,-
Shares Outstanding (Basic),29,28,27,20,18,18,18
Shares Outstanding (Diluted),29,28,27,20,18,18,18
Shares Change,3.81%,1.23%,36.67%,11.32%,-0.13%,0.09%,-
EPS (Basic),1.95,2.02,1.34,3.33,3.54,3.10,3.24
EPS (Diluted),1.95,2.02,1.34,3.33,3.54,3.10,3.24
EPS Growth,-3.47%,50.75%,-59.76%,-5.93%,14.19%,-4.32%,-
Free Cash Flow Per Share,2.53,1.51,1.07,4.39,4.47,3.88,3.71
Dividend Per Share,0.640,0.600,0.600,-,-,-,-
Dividend Growth,6.67%,0%,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,42.02%,45.62%,35.03%,44.21%,41.73%,37.72%,38.69%
Profit Margin,31.14%,33.53%,26.03%,40.98%,41.16%,37.15%,38.01%
Free Cash Flow Margin,40.22%,25.04%,20.77%,54.06%,52.01%,46.38%,43.54%
Effective Tax Rate,25.90%,26.50%,25.68%,7.29%,1.34%,1.53%,1.75%
EBITDA,80.11,80.69,53.75,76.25,69.45,62.18,65.35
EBITDA Margin,44.18%,48.08%,37.98%,46.74%,44.81%,41.17%,42.43%
Depreciation & Amortization,3.92,4.13,4.17,4.13,4.78,5.21,5.76
EBIT,76.19,76.56,49.57,72.12,64.67,56.97,59.59
EBIT Margin,42.02%,45.62%,35.03%,44.21%,41.73%,37.72%,38.69%
