Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Revenue,198.66,183.9,134.42,132.49,140.56,98.49,60.94,53.02,48.84,46.54
Revenue Growth (YoY),8.03%,36.81%,1.46%,-5.74%,42.72%,61.61%,14.95%,8.56%,4.92%,-
Gross Profit,198.66,183.9,134.42,132.49,140.56,98.49,60.94,53.02,48.84,46.54
"Selling, General & Admin",98.95,84.36,79.72,77.42,70.2,49.42,33.09,28.85,29.06,27.08
Other Operating Expenses,29.43,34.73,129.27,22.21,24.19,18.04,13.93,9.41,6.58,8.06
Operating Expenses,128.38,119.09,208.99,99.64,94.39,67.46,47.02,38.26,35.65,35.14
Operating Income,70.28,64.81,-74.57,32.86,46.18,31.03,13.93,14.76,13.19,11.41
Other Expense / Income,-,0.37,-,-,-,-,0.06,0.32,-,-
Pretax Income,70.28,64.44,-74.57,32.86,46.18,31.03,13.87,14.44,13.19,11.41
Income Tax,12.59,11.96,0.4,7.28,10.35,10.38,4.5,4.14,4.2,3.53
Net Income,57.69,52.48,-74.97,25.58,35.83,20.65,9.37,10.3,8.99,7.87
Preferred Dividends,0,0,0,0,0,0,0,0.18,0.71,0.98
Net Income Common,57.69,52.48,-74.97,25.58,35.83,20.65,9.37,10.12,8.28,6.9
Net Income Growth,9.92%,-,-,-28.60%,73.50%,120.30%,-7.41%,22.27%,20.07%,-
Shares Outstanding (Basic),16,17,15,15,16,12,8,8,-,-
Shares Change,-5.42%,13.45%,-3.81%,-2.22%,29.09%,48.84%,0.09%,-,-,-
EPS (Basic),3.56,3.49,-4.97,1.64,2.33,1.66,1.09,1.55,1.31,0.93
EPS (Diluted),3.56,3.49,-4.97,1.64,2.33,1.62,1.07,1.54,1.30,0.92
EPS Growth,2.01%,-,-,-29.61%,43.83%,51.40%,-30.52%,18.46%,41.30%,-
Free Cash Flow Per Share,4.44,5.79,2.29,2.69,1.84,1.70,1.58,0.96,-,-
Dividend Per Share,0.360,0.160,-,-,-,-,-,-,-,-
Dividend Growth,125.00%,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,35.38%,35.24%,-55.48%,24.80%,32.85%,31.50%,22.85%,27.84%,27.01%,24.51%
Profit Margin,29.04%,28.54%,-55.77%,19.31%,25.49%,20.97%,15.38%,19.09%,16.95%,14.81%
Free Cash Flow Margin,35.62%,53.08%,25.35%,31.39%,20.69%,21.08%,21.27%,14.90%,22.12%,32.83%
Effective Tax Rate,17.92%,18.55%,-,22.15%,22.41%,33.45%,32.41%,28.68%,31.87%,30.98%
EBITDA,79.84,73.52,-66.22,40.37,51.8,34.59,16.05,16.39,15.05,12.82
EBITDA Margin,40.19%,39.98%,-49.27%,30.47%,36.85%,35.12%,26.34%,30.91%,30.82%,27.54%
Depreciation & Amortization,9.55,9.08,8.35,7.51,5.62,3.57,2.18,1.95,1.86,1.41
EBIT,70.28,64.44,-74.57,32.86,46.18,31.03,13.87,14.44,13.19,11.41
EBIT Margin,35.38%,35.04%,-55.48%,24.80%,32.85%,31.50%,22.76%,27.24%,27.01%,24.51%
