Year,2022,2021,2020,2019,2018,2017,2016
Revenue,128.33,109.67,81.05,75.26,63.71,52.53,41.44
Revenue Growth (YoY),17.02%,35.30%,7.70%,18.13%,21.27%,26.79%,-
Gross Profit,128.33,109.67,81.05,75.26,63.71,52.53,41.44
"Selling, General & Admin",41.33,34.81,28.83,25.16,20.97,16.24,13.91
Other Operating Expenses,15.29,13.29,16.56,11.77,10.59,9.25,6.26
Operating Expenses,56.62,48.1,45.39,36.93,31.56,25.5,20.17
Operating Income,71.71,61.57,35.67,38.33,32.14,27.04,21.27
Pretax Income,71.71,61.57,35.67,38.33,32.14,27.04,21.27
Income Tax,18.32,15.89,8.47,6.92,5.22,10.15,8.05
Net Income,53.39,45.69,27.19,31.4,26.92,16.89,13.22
Preferred Dividends,4.05,1.17,0,0,0,0,0
Net Income Common,49.34,44.52,27.19,31.4,26.92,16.89,13.22
Net Income Growth,10.83%,63.70%,-13.40%,16.65%,59.39%,27.80%,-
Shares Outstanding (Basic),28,28,28,29,30,29,-
Shares Change,-1.70%,-0.76%,-1.74%,-4.27%,3.48%,-,-
EPS (Basic),1.78,1.59,0.95,1.07,0.93,0.69,0.59
EPS (Diluted),1.72,1.54,0.93,1.05,0.91,0.68,0.58
EPS Growth,11.69%,65.59%,-11.43%,15.38%,33.82%,17.24%,-
Free Cash Flow Per Share,3.02,1.91,-0.06,0.83,0.85,0.81,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,55.88%,56.14%,44.00%,50.93%,50.46%,51.47%,51.33%
Profit Margin,38.45%,40.59%,33.55%,41.73%,42.26%,32.15%,31.89%
Free Cash Flow Margin,64.96%,48.75%,-2.06%,31.83%,40.32%,45.05%,30.75%
Effective Tax Rate,25.54%,25.80%,23.75%,18.06%,16.25%,37.54%,37.86%
EBITDA,74.77,63.94,36.87,39.33,32.91,27.73,21.85
EBITDA Margin,58.27%,58.31%,45.49%,52.27%,51.65%,52.79%,52.74%
Depreciation & Amortization,3.06,2.37,1.21,1.01,0.76,0.69,0.59
EBIT,71.71,61.57,35.67,38.33,32.14,27.04,21.27
EBIT Margin,55.88%,56.14%,44.00%,50.93%,50.46%,51.47%,51.33%
