Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,56.57,53.83,61.58,68.19,58.38,51.11,45.02,36.9,29.91,18.21,Upgrade
Revenue Growth (YoY),5.08%,-12.59%,-9.70%,16.80%,14.24%,13.53%,22.01%,23.35%,64.24%,967.58%,Upgrade
Cost of Revenue,12.6,11.72,9.38,15.21,10.63,13.1,11.85,9.81,7.6,4.3,Upgrade
Gross Profit,43.96,42.11,52.2,52.98,47.75,38,33.17,27.08,22.31,13.92,Upgrade
"Selling, General & Admin",3.29,3.59,3.46,3.67,3.57,3.59,3.2,2.86,2.82,2.36,Upgrade
Other Operating Expenses,0,0,0,0,0,0,0.68,0.08,0.07,0,Upgrade
Operating Expenses,3.29,3.59,3.46,3.67,3.57,3.59,3.88,2.94,2.89,2.36,Upgrade
Operating Income,40.68,38.52,48.75,49.32,44.18,34.42,29.29,24.14,19.42,11.56,Upgrade
Interest Expense / Income,17.08,16.07,17.99,20.27,12.27,8.31,6.78,5.4,4.34,2.91,Upgrade
Other Expense / Income,24.98,-10.29,28.74,9.82,26.05,13.85,-1.86,0.85,1.17,-1.12,Upgrade
Pretax Income,-1.38,32.74,2.02,19.23,5.86,12.25,24.37,17.89,13.91,9.77,Upgrade
Income Tax,1.41,0.28,0.37,0.02,0.01,0.1,0,0,0,0,Upgrade
Net Income,-2.79,32.46,1.65,19.21,5.85,12.15,24.37,17.89,13.91,9.77,Upgrade
Net Income Growth,-,1871.99%,-91.43%,228.56%,-51.88%,-50.13%,36.18%,28.64%,42.42%,928.00%,Upgrade
Shares Outstanding (Basic),22,21,21,20,20,19,15,12,10,8,Upgrade
Shares Outstanding (Diluted),22,21,21,20,20,19,15,12,10,8,Upgrade
Shares Change,0.99%,2.53%,2.34%,0.53%,9.19%,28.04%,24.51%,21.75%,25.87%,41.55%,Upgrade
EPS (Basic),-0.13,1.51,0.08,0.94,0.29,0.65,1.68,1.53,1.45,1.28,Upgrade
EPS (Diluted),-0.13,1.51,0.08,0.94,0.29,0.65,1.68,1.53,1.45,1.28,Upgrade
EPS Growth,-,1787.50%,-91.49%,224.14%,-55.38%,-61.31%,9.80%,5.52%,13.28%,611.11%,Upgrade
Free Cash Flow Per Share,0.65,0.93,3.58,-1.92,-2.71,-3.73,-3.57,-7.08,-1.20,-8.25,Upgrade
Dividend Per Share,1.000,1.000,1.100,1.400,1.400,1.400,1.400,1.400,1.360,1.360,Upgrade
Dividend Growth,0%,-9.09%,-21.43%,0%,0%,0%,0%,2.94%,0%,300.00%,Upgrade
Gross Margin,77.72%,78.23%,84.77%,77.70%,81.79%,74.36%,73.67%,73.40%,74.58%,76.41%,Upgrade
Operating Margin,71.91%,71.57%,79.16%,72.32%,75.67%,67.34%,65.06%,65.43%,64.91%,63.46%,Upgrade
Profit Margin,-4.93%,60.30%,2.67%,28.18%,10.02%,23.78%,54.12%,48.49%,46.50%,53.62%,Upgrade
Free Cash Flow Margin,24.94%,37.17%,121.68%,-57.55%,-94.40%,-136.12%,-115.23%,-224.25%,-38.50%,-345.28%,Upgrade
Effective Tax Rate,-,0.86%,18.35%,0.09%,0.19%,0.82%,-,-,-,-,Upgrade
EBITDA,15.7,48.82,20.01,39.5,18.13,20.56,31.15,23.29,18.25,12.67,Upgrade
EBITDA Margin,27.75%,90.68%,32.49%,57.92%,31.05%,40.24%,69.19%,63.13%,61.01%,69.59%,Upgrade
EBIT,15.7,48.82,20.01,39.5,18.13,20.56,31.15,23.29,18.25,12.67,Upgrade
EBIT Margin,27.75%,90.68%,32.49%,57.92%,31.05%,40.24%,69.19%,63.13%,61.01%,69.59%,Upgrade
