Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,75.11,63.68,56.66,58.91,53.27,39.65,39.49,35.16,32.32,29.4,Upgrade
Revenue Growth (YoY),17.96%,12.39%,-3.83%,10.60%,34.35%,0.40%,12.32%,8.77%,9.95%,695.38%,Upgrade
Cost of Revenue,15.81,19.08,13.25,15.51,13.77,9.17,10.56,9.17,6.93,7.1,Upgrade
Gross Profit,59.3,44.6,43.41,43.4,39.5,30.48,28.93,25.99,25.4,22.3,Upgrade
"Selling, General & Admin",5.08,5,4.69,4.28,4.25,4.24,3.37,3.26,3.57,3.16,Upgrade
Other Operating Expenses,0,0,0,0,0,0,0.26,0,0,0,Upgrade
Operating Expenses,5.08,5,4.69,4.28,4.25,4.24,3.63,3.26,3.57,3.16,Upgrade
Operating Income,54.22,39.6,38.71,39.12,35.25,26.24,25.3,22.72,21.83,19.14,Upgrade
Interest Expense / Income,24.47,18.72,15.95,14.98,12.34,7.86,7.99,6.18,5.32,3.12,Upgrade
Other Expense / Income,13.88,-13.29,1.57,-3.26,-3.89,-4.22,-5.51,8.78,6.04,-1.53,Upgrade
Pretax Income,15.87,34.16,21.19,27.41,26.81,22.6,22.83,7.76,10.47,17.54,Upgrade
Income Tax,1.37,0.59,1,0.97,0.61,-0.01,-0.37,0.09,0.29,0,Upgrade
Net Income,14.49,33.57,20.19,26.44,26.19,22.61,23.2,7.67,10.18,17.54,Upgrade
Net Income Growth,-56.83%,66.26%,-23.62%,0.92%,15.84%,-2.53%,202.44%,-24.64%,-41.98%,1251.25%,Upgrade
Shares Outstanding (Basic),20,19,19,18,16,15,12,12,12,12,Upgrade
Shares Outstanding (Diluted),20,19,19,18,16,15,12,12,12,12,Upgrade
Shares Change,0.32%,0.09%,6.54%,14.56%,7.28%,19.16%,-0.00%,1.62%,1.84%,-0.23%,Upgrade
EPS (Basic),0.74,1.72,1.04,1.45,1.64,1.52,1.86,0.61,0.83,1.45,Upgrade
EPS (Diluted),0.74,1.72,1.04,1.45,1.64,1.52,1.86,0.61,0.83,1.45,Upgrade
EPS Growth,-56.98%,65.38%,-28.28%,-11.59%,7.89%,-18.28%,204.92%,-26.51%,-42.76%,1218.18%,Upgrade
Free Cash Flow Per Share,-2.88,-3.90,-0.18,-5.10,-6.42,1.27,0.71,-1.96,-2.21,-5.67,Upgrade
Dividend Per Share,1.360,1.080,1.150,1.359,1.359,1.356,1.356,1.356,1.421,1.348,Upgrade
Dividend Growth,25.93%,-6.09%,-15.38%,0%,0.22%,0%,0%,-4.57%,5.42%,653.07%,Upgrade
Gross Margin,78.95%,70.04%,76.61%,73.67%,74.16%,76.88%,73.27%,73.92%,78.57%,75.84%,Upgrade
Operating Margin,72.18%,62.19%,68.33%,66.40%,66.18%,66.19%,64.08%,64.63%,67.53%,65.08%,Upgrade
Profit Margin,19.29%,52.72%,35.64%,44.87%,49.18%,57.03%,58.75%,21.82%,31.49%,59.68%,Upgrade
Free Cash Flow Margin,-74.94%,-119.51%,-6.16%,-158.35%,-192.28%,47.54%,22.38%,-69.53%,-84.05%,-232.68%,Upgrade
Effective Tax Rate,8.67%,1.73%,4.70%,3.54%,2.28%,-0.04%,-1.63%,1.21%,2.75%,-,Upgrade
EBITDA,40.34,52.89,37.14,42.38,39.14,30.46,30.82,13.94,15.78,20.67,Upgrade
EBITDA Margin,53.70%,83.05%,65.55%,71.94%,73.49%,76.83%,78.04%,39.65%,48.82%,70.30%,Upgrade
EBIT,40.34,52.89,37.14,42.38,39.14,30.46,30.82,13.94,15.78,20.67,Upgrade
EBIT Margin,53.70%,83.05%,65.55%,71.94%,73.49%,76.83%,78.04%,39.65%,48.82%,70.30%,Upgrade
