Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Revenue,99.1,70.74,57.65,58.45,47.71,38.61,33.16,30.05,27.38,22.89,Upgrade
Revenue Growth (YoY),40.10%,22.71%,-1.37%,22.51%,23.55%,16.46%,10.34%,9.77%,19.58%,34.62%,Upgrade
Cost of Revenue,21.48,23.7,14,22.26,11.77,10.18,7.85,6.76,6.7,4.27,Upgrade
Gross Profit,77.62,47.04,43.65,36.19,35.94,28.43,25.31,23.29,20.67,18.63,Upgrade
"Selling, General & Admin",5.85,4.9,4.26,3.74,3.41,2.9,2.72,2.37,1.69,1.99,Upgrade
Other Operating Expenses,3.23,2.36,2.68,1.94,2.13,1.86,1.58,1.78,1.93,1.68,Upgrade
Operating Expenses,9.08,7.26,6.95,5.68,5.54,4.76,4.31,4.16,3.62,3.67,Upgrade
Operating Income,68.55,39.78,36.7,30.51,30.4,23.67,21,19.13,17.05,14.96,Upgrade
Interest Expense / Income,33.5,19.88,13.59,14.68,13.13,10.94,9.89,8.46,7.38,6.08,Upgrade
Other Expense / Income,10.53,-25.79,8.34,-40.88,-0.21,-4.95,-0.27,-0.97,-1.33,0.38,Upgrade
Pretax Income,24.52,45.7,14.78,56.7,17.48,17.68,11.39,11.65,11.01,8.5,Upgrade
Income Tax,-0.15,-0.04,0,0.96,-1.03,0,0,0,0,0,Upgrade
Net Income,24.68,45.74,14.78,55.74,18.51,17.68,11.39,11.65,11.01,8.5,Upgrade
Net Income Growth,-46.05%,209.50%,-73.49%,201.14%,4.70%,55.25%,-2.22%,5.80%,29.54%,-39.50%,Upgrade
Shares Outstanding (Basic),12,11,11,9,7,6,6,6,5,5,Upgrade
Shares Outstanding (Diluted),12,11,11,9,7,6,6,6,5,5,Upgrade
Shares Change,4.42%,2.40%,20.06%,32.25%,16.98%,4.94%,2.83%,3.67%,9.44%,19.71%,Upgrade
EPS (Basic),2.06,3.99,1.32,5.98,2.63,2.93,1.98,2.09,2.04,1.73,Upgrade
EPS (Diluted),2.06,3.99,1.32,5.98,2.63,2.93,1.98,2.09,2.04,1.73,Upgrade
EPS Growth,-48.37%,202.27%,-77.93%,127.38%,-10.24%,47.98%,-5.26%,2.45%,17.92%,-49.42%,Upgrade
Free Cash Flow Per Share,-10.90,-17.73,-5.57,-1.63,-5.67,-5.11,1.17,-5.77,-4.03,-6.00,Upgrade
Dividend Per Share,2.280,1.920,1.230,2.210,2.060,1.900,1.930,2.360,0.400,2.650,Upgrade
Dividend Growth,18.75%,56.10%,-44.34%,7.28%,8.42%,-1.55%,-18.22%,490.00%,-84.91%,-37.65%,Upgrade
Gross Margin,78.32%,66.50%,75.71%,61.91%,75.33%,73.64%,76.34%,77.50%,75.51%,81.37%,Upgrade
Operating Margin,69.17%,56.24%,63.66%,52.19%,63.72%,61.30%,63.35%,63.68%,62.28%,65.34%,Upgrade
Profit Margin,24.90%,64.65%,25.63%,95.36%,38.80%,45.78%,34.34%,38.75%,40.21%,37.12%,Upgrade
Free Cash Flow Margin,-131.55%,-287.15%,-108.15%,-25.91%,-83.80%,-79.70%,20.33%,-107.23%,-79.33%,-128.97%,Upgrade
Effective Tax Rate,-0.62%,-0.09%,0.00%,1.70%,-5.88%,-,-,-,-,-,Upgrade
EBITDA,58.02,65.58,28.36,71.38,30.61,28.62,21.28,20.1,18.38,14.58,Upgrade
EBITDA Margin,58.55%,92.70%,49.20%,122.13%,64.16%,74.11%,64.17%,66.89%,67.15%,63.69%,Upgrade
EBIT,58.02,65.58,28.36,71.38,30.61,28.62,21.28,20.1,18.38,14.58,Upgrade
EBIT Margin,58.55%,92.70%,49.20%,122.13%,64.16%,74.11%,64.17%,66.89%,67.15%,63.69%,Upgrade
