Year,2022,2021,2020,2019,2018,2017,2016
Revenue,100.53,100.17,64.71,76.67,74.97,67.24,56.92
Revenue Growth (YoY),0.36%,54.79%,-15.59%,2.26%,11.50%,18.13%,-
Gross Profit,100.53,100.17,64.71,76.67,74.97,67.24,56.92
"Selling, General & Admin",44.1,37.37,35.2,35.35,33.64,30.73,27.38
Other Operating Expenses,7.03,5.84,6.5,6.97,6.59,5.16,5.13
Operating Expenses,51.13,43.21,41.7,42.32,40.23,35.9,32.51
Operating Income,49.4,56.96,23.01,34.35,34.75,31.34,24.4
Pretax Income,49.4,56.96,23.01,34.35,34.75,31.34,24.4
Income Tax,14.42,16.86,6.84,10.24,10.44,14.94,10.4
Net Income,34.99,40.1,16.18,24.11,24.3,16.4,14
Net Income Growth,-12.76%,147.93%,-32.91%,-0.79%,48.15%,17.15%,-
Shares Outstanding (Basic),15,15,15,16,14,13,13
Shares Outstanding (Diluted),15,15,15,16,15,14,13
Shares Change,-1.24%,-1.26%,-4.47%,10.08%,8.50%,7.39%,-
EPS (Basic),2.35,2.66,1.05,1.52,1.69,1.22,1.12
EPS (Diluted),2.31,2.62,1.04,1.49,1.65,1.21,1.11
EPS Growth,-11.83%,151.92%,-30.20%,-9.70%,36.36%,9.01%,-
Free Cash Flow Per Share,3.50,-0.14,0.99,1.85,2.05,1.49,3.05
Dividend Per Share,0.600,0.440,0.400,0.250,0.060,-,-
Dividend Growth,36.36%,10.00%,60.00%,316.67%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,49.14%,56.86%,35.56%,44.81%,46.34%,46.61%,42.87%
Profit Margin,34.80%,40.04%,25.00%,31.45%,32.41%,24.40%,24.60%
Free Cash Flow Margin,51.54%,-2.04%,23.66%,38.36%,39.41%,29.64%,67.14%
Effective Tax Rate,29.18%,29.59%,29.71%,29.82%,30.06%,47.66%,42.62%
EBITDA,51,58.33,24.5,35.89,36.01,32.46,25.43
EBITDA Margin,50.73%,58.24%,37.86%,46.81%,48.04%,48.28%,44.68%
Depreciation & Amortization,1.6,1.38,1.49,1.53,1.27,1.12,1.03
EBIT,49.4,56.96,23.01,34.35,34.75,31.34,24.4
EBIT Margin,49.14%,56.86%,35.56%,44.81%,46.34%,46.61%,42.87%
