Year,2022,2021,2020,2019,2018,2017
Revenue,45.91,42.23,36.5,31.66,30.06,27
Revenue Growth (YoY),8.70%,15.68%,15.30%,5.32%,11.34%,-
Gross Profit,45.91,42.23,36.5,31.66,30.06,27
"Selling, General & Admin",23.25,22.47,18.74,18.7,15.74,15.91
Other Operating Expenses,6.77,6.05,5.13,32.2,7.26,5.3
Operating Expenses,30.02,28.52,23.88,50.9,23,21.21
Operating Income,15.89,13.71,12.63,-19.24,7.06,5.79
Other Expense / Income,0.14,0.13,0.13,0.14,0.11,0.1
Pretax Income,15.75,13.58,12.5,-19.38,6.96,5.69
Income Tax,2.78,2.44,2.48,-5.29,1.28,2.97
Net Income,12.97,11.14,10.02,-14.08,5.68,2.72
Net Income Growth,16.34%,11.25%,-,-,109.11%,-
Shares Outstanding (Basic),12,12,13,14,13,-
Shares Change,-5.06%,-6.58%,-1.68%,3.84%,-,-
EPS (Basic),1.20,0.98,0.82,-1.27,-,-
EPS (Diluted),1.17,0.96,0.82,-1.27,-,-
EPS Growth,21.88%,17.07%,-,-,-,-
Free Cash Flow Per Share,1.51,-0.82,1.11,0.68,0.55,-
Dividend Per Share,0.400,0.780,0.150,-,-,-
Dividend Growth,-48.72%,420.00%,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,34.61%,32.46%,34.59%,-60.77%,23.50%,21.44%
Profit Margin,28.24%,26.39%,27.44%,-44.48%,18.89%,10.06%
Free Cash Flow Margin,38.72%,-24.21%,40.34%,28.86%,23.72%,21.04%
Effective Tax Rate,17.67%,17.93%,19.83%,-,18.38%,52.26%
EBITDA,17.04,15.12,13.96,-18.29,8.07,6.91
EBITDA Margin,37.11%,35.80%,38.25%,-57.75%,26.84%,25.60%
Depreciation & Amortization,1.29,1.54,1.47,1.09,1.11,1.22
EBIT,15.75,13.58,12.5,-19.38,6.96,5.69
EBIT Margin,34.31%,32.16%,34.23%,-61.20%,23.14%,21.07%
