Year,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,160.2,42.19,2.53,0,29.2,27.1,23,16.73
Revenue Growth (YoY),279.71%,1570.55%,-,-,7.76%,17.84%,37.41%,-
Cost of Revenue,106.15,19.97,0.02,0,18.76,16.64,14.26,10.64
Gross Profit,54.05,22.22,2.51,0,10.44,10.46,8.74,6.09
"Selling, General & Admin",14.26,11.37,1.18,1.17,5.87,2.68,2.56,1.28
Research & Development,1.6,0.82,0.16,0.92,0.51,0.03,0.12,0.04
Other Operating Expenses,0,0,0,0,0.19,-0.23,0,0
Operating Expenses,15.86,12.19,1.33,2.09,6.57,2.48,2.69,1.32
Operating Income,38.19,10.03,1.17,-2.09,3.88,7.98,6.05,4.78
Interest Expense / Income,0,0,0,0,0.06,0.05,0.06,0.07
Other Expense / Income,-2.46,22.18,-1.51,3.05,-0.38,-0.01,-0.02,-0.01
Pretax Income,40.65,-12.15,2.68,-5.14,4.2,7.94,6.01,4.71
Income Tax,10.27,0.94,-0.06,0,-2.94,2,1.62,1.3
Net Income,30.38,-13.09,2.74,-5.14,7.14,5.93,4.4,3.41
Net Income Growth,-,-,-,-,20.24%,35.02%,28.86%,-
Shares Outstanding (Basic),22,19,16,16,15,12,12,12
Shares Outstanding (Diluted),22,19,16,16,15,12,12,12
Shares Change,15.70%,14.25%,3.23%,7.25%,21.99%,0.38%,-,-
EPS (Basic),1.41,-0.71,0.17,-0.33,0.49,0.49,0.37,0.28
EPS (Diluted),1.41,-0.71,0.17,-0.33,0.49,0.49,0.37,0.28
EPS Growth,-,-,-,-,0%,32.43%,32.14%,-
Free Cash Flow Per Share,1.10,0.13,0.01,-0.05,-0.63,0.05,0.07,-0.22
Gross Margin,33.74%,52.66%,99.23%,-,35.77%,38.61%,38.01%,36.41%
Operating Margin,23.84%,23.77%,46.51%,-,13.28%,29.45%,26.33%,28.54%
Profit Margin,18.96%,-31.03%,108.49%,-,24.44%,21.90%,19.12%,20.38%
Free Cash Flow Margin,14.76%,5.76%,3.87%,-,-31.59%,2.20%,3.46%,-15.79%
Effective Tax Rate,25.26%,-,-2.08%,-,-70.01%,25.23%,26.90%,27.59%
EBITDA,42.83,-10.46,2.93,-5.14,5.19,8.5,6.51,5.15
EBITDA Margin,26.74%,-24.80%,115.88%,-,17.79%,31.38%,28.32%,30.80%
Depreciation & Amortization,2.18,1.69,0.24,0,0.94,0.52,0.44,0.37
EBIT,40.65,-12.15,2.68,-5.14,4.25,7.99,6.07,4.78
EBIT Margin,25.37%,-28.80%,106.29%,-,14.57%,29.47%,26.39%,28.57%
