Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1988
Revenue,104.67,135.85,76.11,66.52,58.98,55.79,45.79,43,35.05,40.41,Upgrade
Revenue Growth (YoY),-22.96%,78.49%,14.41%,12.79%,5.73%,21.85%,6.48%,22.69%,-13.26%,32.92%,Upgrade
Gross Profit,104.67,135.85,76.11,66.52,0,0,0,0,0,0,Upgrade
Selling & Marketing,0.73,0.54,0.34,0.58,0.47,0.39,0.29,0.24,0.31,1.05,Upgrade
General & Administrative,36.08,27.18,28.92,27.41,24.33,23.75,21.52,20.68,19.48,20.81,Upgrade
Operating Income,66.66,112.13,51.98,39.12,0,0,0,0,0,0,Upgrade
Interest Income,88.54,78.13,83.68,81.83,65.89,57.92,47.24,44.59,38.37,36.54,Upgrade
Interest Expense,5.11,11.04,18.7,19.51,12.58,10.1,7.86,7.22,6.65,6.6,Upgrade
Other Expense / Income,88.54,78.13,83.68,81.83,30.11,27.69,27.66,26.23,27.45,23.58,Upgrade
Pretax Income,61.55,101.09,33.28,19.62,23.2,20.14,11.72,11.14,4.28,6.37,Upgrade
Income Tax,19.39,29.59,10.54,5.73,7.03,7.8,4.1,4,1.58,1.95,Upgrade
Net Income,42.16,71.5,22.74,13.88,16.17,12.34,7.62,7.14,2.69,4.42,Upgrade
Net Income Growth,-41.03%,214.48%,63.76%,-14.12%,31.02%,61.95%,6.69%,165.27%,-39.10%,104.35%,Upgrade
Shares Outstanding (Basic),8,8,9,9,9,9,9,10,10,10,Upgrade
Shares Outstanding (Diluted),8,8,9,9,9,9,9,10,10,10,Upgrade
Shares Change,-5.48%,-7.02%,-1.80%,0.30%,1.97%,-5.61%,-4.97%,-4.08%,-0.05%,142.57%,Upgrade
EPS (Basic),5.40,8.64,2.57,1.54,1.81,1.39,0.80,0.72,0.26,0.39,Upgrade
EPS (Diluted),5.34,8.55,2.53,1.52,1.77,1.38,0.80,0.72,0.26,0.39,Upgrade
EPS Growth,-37.54%,237.94%,66.45%,-14.12%,28.26%,72.50%,11.11%,176.92%,-33.33%,-4.88%,Upgrade
Free Cash Flow Per Share,3.77,0.85,1.71,2.05,2.07,3.74,0.41,-0.30,-0.64,-0.15,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,-,-,-,-,-,-,Upgrade
Operating Margin,63.69%,82.54%,68.29%,58.81%,-,-,-,-,-,-,Upgrade
Profit Margin,40.28%,52.63%,29.87%,20.87%,27.41%,22.12%,16.64%,16.61%,7.68%,10.94%,Upgrade
Free Cash Flow Margin,28.13%,5.21%,19.91%,27.77%,31.32%,59.68%,8.53%,-6.94%,-18.90%,-3.90%,Upgrade
Effective Tax Rate,31.50%,29.27%,31.68%,29.22%,30.31%,38.73%,35.01%,35.87%,36.90%,30.56%,Upgrade
EBITDA,69.26,114.73,54.93,40.88,37.51,32.12,21.69,20.61,13.67,15.65,Upgrade
EBITDA Margin,66.17%,84.45%,72.17%,61.45%,63.60%,57.57%,47.36%,47.93%,39.00%,38.73%,Upgrade
Depreciation & Amortization,2.6,2.6,2.95,1.76,1.73,1.88,2.11,2.26,2.75,2.69,Upgrade
EBIT,66.66,112.13,51.98,39.12,35.78,30.23,19.58,18.36,10.92,12.96,Upgrade
EBIT Margin,63.69%,82.54%,68.29%,58.81%,60.66%,54.20%,42.76%,42.69%,31.17%,32.08%,Upgrade
