Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Revenue,"1,397.75","1,200.51",810.3,772.73,625.83,581.8,506.42,392.33,80.31,23.74,Upgrade
Revenue Growth (YoY),16.43%,48.16%,4.86%,23.47%,7.57%,14.88%,29.08%,388.50%,238.26%,-66.18%,Upgrade
Cost of Revenue,452.61,327.01,236.9,170.68,152.1,123.96,106.78,86.31,5.83,0,Upgrade
Gross Profit,945.15,873.5,573.4,602.05,473.73,457.84,399.64,306.02,74.48,23.74,Upgrade
"Selling, General & Admin",182.66,207.32,172.74,129.48,113.56,115.95,115.61,89.33,32.54,0,Upgrade
Other Operating Expenses,678.24,563.16,406.94,416.37,352.96,330.12,234.13,196.01,93.3,63.79,Upgrade
Operating Expenses,860.9,770.49,579.67,545.85,466.51,446.06,349.74,285.34,125.84,63.79,Upgrade
Operating Income,84.25,103.02,-6.27,56.2,7.22,11.78,49.9,20.68,-51.35,-40.05,Upgrade
Interest Expense / Income,30.24,37.67,32.58,27.06,27.01,25.56,21.01,16.7,12.54,4.87,Upgrade
Other Expense / Income,11.84,5.92,3.93,1.76,-37.82,-4.83,-8.95,-1.04,-66.32,-55.87,Upgrade
Pretax Income,42.18,59.42,-42.79,27.38,18.02,-8.96,37.84,5.03,2.43,10.95,Upgrade
Income Tax,50.45,21.29,-13.63,9.02,-5.91,-12.56,12.52,-0.75,4.14,0.56,Upgrade
Net Income,-8.27,38.13,-29.16,18.36,23.93,3.6,25.32,5.78,-1.71,10.39,Upgrade
Net Income Growth,-,-,-,-23.28%,564.07%,-85.77%,338.14%,-,-,19.06%,Upgrade
Shares Outstanding (Basic),36,33,34,35,35,29,32,33,17,10,Upgrade
Shares Outstanding (Diluted),36,34,34,35,35,37,32,33,17,10,Upgrade
Shares Change,5.47%,-0.51%,-2.08%,-0.40%,-6.94%,17.44%,-4.32%,97.97%,63.62%,-0.35%,Upgrade
EPS (Basic),-0.23,1.13,-0.86,0.52,0.69,0.12,0.79,0.17,-0.10,1.01,Upgrade
EPS (Diluted),-0.23,1.09,-0.86,0.50,0.69,0.11,0.78,0.17,-0.10,1.01,Upgrade
EPS Growth,-,-,-,-27.54%,527.27%,-85.90%,358.82%,-,-,18.82%,Upgrade
Free Cash Flow Per Share,12.73,6.07,3.94,0.78,1.55,1.55,1.11,-0.48,1.23,1.96,Upgrade
Dividend Per Share,0.160,0.160,0.160,0.155,0.135,0.120,0.100,0.100,-,0.175,Upgrade
Dividend Growth,0%,0%,3.23%,14.81%,12.50%,20.00%,0%,-,-,-67.59%,Upgrade
Gross Margin,67.62%,72.76%,70.76%,77.91%,75.70%,78.69%,78.91%,78.00%,92.74%,100.00%,Upgrade
Operating Margin,6.03%,8.58%,-0.77%,7.27%,1.15%,2.02%,9.85%,5.27%,-63.94%,-168.67%,Upgrade
Profit Margin,-0.59%,3.18%,-3.60%,2.38%,3.82%,0.62%,5.00%,1.47%,-2.13%,43.77%,Upgrade
Free Cash Flow Margin,32.36%,16.79%,16.47%,3.50%,8.62%,7.76%,6.94%,-4.03%,25.63%,84.38%,Upgrade
Effective Tax Rate,119.62%,35.83%,-,32.94%,-32.78%,-,33.08%,-14.98%,170.34%,5.11%,Upgrade
EBITDA,104.69,130.46,14.75,75.57,57.63,46.6,87.39,68.45,26.92,19.6,Upgrade
EBITDA Margin,7.49%,10.87%,1.82%,9.78%,9.21%,8.01%,17.26%,17.45%,33.52%,82.55%,Upgrade
Depreciation & Amortization,32.27,33.36,24.95,21.14,12.6,29.99,28.54,46.72,11.95,3.78,Upgrade
EBIT,72.42,97.1,-10.2,54.44,45.04,16.6,58.85,21.72,14.97,15.82,Upgrade
EBIT Margin,5.18%,8.09%,-1.26%,7.04%,7.20%,2.85%,11.62%,5.54%,18.64%,66.62%,Upgrade
