Year,2022,2021,2020,2019,2018,2017
Revenue,199.31,186.35,115.28,120.25,102.95,66.5
Revenue Growth (YoY),6.96%,61.65%,-4.13%,16.80%,54.82%,-
Gross Profit,199.31,186.35,115.28,120.25,102.95,66.5
"Selling, General & Admin",99,79.97,74.14,73.78,71.65,51.31
Other Operating Expenses,22.75,19.41,25.83,13.86,14.11,10.78
Operating Expenses,121.74,99.38,99.97,87.64,85.76,62.09
Operating Income,77.57,86.97,15.31,32.61,17.2,4.41
Pretax Income,77.57,86.97,15.31,32.61,17.2,4.41
Income Tax,15.97,17.56,2.71,4.14,-2.39,-1.44
Net Income,61.6,69.41,12.6,28.47,19.59,5.85
Net Income Growth,-11.26%,450.85%,-55.74%,45.34%,234.93%,-
Shares Outstanding (Basic),49,51,52,52,51,-
Shares Change,-4.52%,-2.45%,0.44%,1.67%,-,-
EPS (Basic),1.24,1.35,0.24,0.59,0.48,0.12
EPS (Diluted),1.23,1.33,0.24,0.58,0.47,0.12
EPS Growth,-7.52%,454.17%,-58.62%,23.40%,291.67%,-
Free Cash Flow Per Share,1.60,1.72,1.43,1.47,0.10,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,38.92%,46.67%,13.28%,27.12%,16.70%,6.63%
Profit Margin,30.91%,37.25%,10.93%,23.68%,19.03%,8.80%
Free Cash Flow Margin,39.10%,47.10%,64.61%,63.45%,4.74%,9.51%
Effective Tax Rate,20.59%,20.19%,17.72%,12.69%,-13.92%,-32.69%
EBITDA,82.88,92.23,20.57,37.93,21.87,7.47
EBITDA Margin,41.58%,49.49%,17.84%,31.54%,21.24%,11.23%
Depreciation & Amortization,5.31,5.26,5.25,5.32,4.68,3.06
EBIT,77.57,86.97,15.31,32.61,17.2,4.41
EBIT Margin,38.92%,46.67%,13.28%,27.12%,16.70%,6.63%
