Year,2022,2021,2020
"Selling, General & Admin",1.12,0.72,0
Other Operating Expenses,0.21,0.2,0
Operating Expenses,1.33,0.92,0
Operating Income,-1.33,-0.92,-0
Other Expense / Income,-2.8,-0.12,-
Pretax Income,1.47,-0.8,-0
Income Tax,0.48,0,0
Net Income,0.99,-0.8,-0
Shares Outstanding (Basic),25,22,4
Shares Outstanding (Diluted),25,22,4
Shares Change,14.49%,397.00%,-
EPS (Basic),0.04,-0.04,-
EPS (Diluted),0.04,-0.04,-
Free Cash Flow Per Share,-0.04,-0.04,-
Effective Tax Rate,32.51%,-,-
EBITDA,1.47,-0.8,-
EBIT,1.47,-0.8,-0
