Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Revenue,76.33,70.06,62.78,62.72,58.58,55.44,53.98,48.51,47,41.41,Upgrade
Revenue Growth (YoY),8.95%,11.60%,0.09%,7.07%,5.66%,2.71%,11.27%,3.22%,13.49%,5.74%,Upgrade
Gross Profit,76.33,70.06,62.78,62.72,58.58,55.44,53.98,48.51,47,41.41,Upgrade
"Selling, General & Admin",34.87,32.9,32.26,31.62,29.62,27.95,27.17,25.36,24.59,23.08,Upgrade
Other Operating Expenses,21.16,18.23,16.67,13.89,12.95,13.27,15.08,10.42,11.09,9.77,Upgrade
Operating Expenses,56.03,51.13,48.93,45.52,42.57,41.23,42.24,35.78,35.67,32.84,Upgrade
Operating Income,20.3,18.93,13.85,17.2,16.01,14.22,11.74,12.73,11.33,8.57,Upgrade
Pretax Income,20.3,18.93,13.85,17.2,16.01,14.22,11.74,12.73,11.33,8.57,Upgrade
Income Tax,4.17,3.8,2.49,3.14,2.62,3.95,2.56,3.1,1.94,1.88,Upgrade
Net Income,16.12,15.13,11.36,14.07,13.38,10.27,9.18,9.63,9.39,6.69,Upgrade
Preferred Dividends,0,0,0,0,0,0,0,0,0,0.66,Upgrade
Net Income Common,16.12,15.13,11.36,14.07,13.38,10.27,9.18,9.63,9.39,6.04,Upgrade
Net Income Growth,6.54%,33.25%,-19.26%,5.12%,30.33%,11.89%,-4.73%,2.61%,55.56%,26.18%,Upgrade
Shares Outstanding (Basic),6,6,6,6,6,6,6,6,6,6,Upgrade
Shares Change,-0.42%,-2.18%,-2.11%,-1.38%,-0.00%,0.60%,-1.78%,-1.80%,0.06%,0.30%,Upgrade
EPS (Basic),2.94,2.71,2.01,2.43,2.23,1.71,1.53,1.57,1.52,0.98,Upgrade
EPS (Diluted),2.85,2.63,1.95,2.36,2.22,1.69,1.50,1.56,1.51,0.97,Upgrade
EPS Growth,8.37%,34.87%,-17.37%,6.31%,31.36%,12.67%,-3.85%,3.38%,55.09%,24.42%,Upgrade
Free Cash Flow Per Share,3.21,4.76,1.15,1.78,2.81,2.17,1.78,1.90,-0.20,3.64,Upgrade
Dividend Per Share,0.870,0.660,0.750,0.660,0.520,0.447,0.345,0.255,0.164,0.109,Upgrade
Dividend Growth,31.82%,-12.00%,13.64%,26.92%,16.33%,29.57%,35.29%,55.49%,50.46%,-33.54%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,26.59%,27.02%,22.06%,27.43%,27.32%,25.64%,21.75%,26.25%,24.10%,20.69%,Upgrade
Profit Margin,21.12%,21.60%,18.09%,22.43%,22.84%,18.52%,17.00%,19.86%,19.98%,14.57%,Upgrade
Free Cash Flow Margin,23.71%,38.44%,10.62%,16.76%,28.77%,23.51%,19.69%,23.72%,-2.56%,54.30%,Upgrade
Effective Tax Rate,20.56%,20.05%,17.98%,18.23%,16.39%,27.77%,21.82%,24.35%,17.10%,21.93%,Upgrade
EBITDA,26.33,24.5,18.03,21.17,20.58,19.23,17.16,18.79,18.21,17.02,Upgrade
EBITDA Margin,34.49%,34.97%,28.72%,33.75%,35.13%,34.69%,31.79%,38.73%,38.76%,41.11%,Upgrade
Depreciation & Amortization,6.03,5.57,4.18,3.96,4.57,5.02,5.42,6.05,6.89,8.45,Upgrade
EBIT,20.3,18.93,13.85,17.2,16.01,14.22,11.74,12.73,11.33,8.57,Upgrade
EBIT Margin,26.59%,27.02%,22.06%,27.43%,27.32%,25.64%,21.75%,26.25%,24.10%,20.69%,Upgrade
