Year,2021,2020,2019,2018,2017,2016
Revenue,584.87,265.95,83.39,74.29,57.76,19.39
Revenue Growth (YoY),119.92%,218.91%,12.26%,28.62%,197.93%,-
Gross Profit,584.87,265.95,83.39,74.29,57.76,19.39
"Selling, General & Admin",88.56,35.45,25.68,43.13,21.7,9.25
Other Operating Expenses,76.76,67.39,18.42,7.99,2.28,0.56
Operating Expenses,165.33,102.84,44.1,51.12,23.98,9.81
Operating Income,419.54,163.11,39.29,23.16,33.77,9.58
Interest Expense / Income,65.45,18.61,10.2,14.65,14.74,3.81
Other Expense / Income,97.63,-21.15,-0.68,-,0.42,0.01
Pretax Income,256.46,165.66,29.77,8.52,18.62,5.76
Income Tax,38.53,23.36,4.93,1.37,0.42,-0.52
Net Income,217.94,142.29,24.84,7.15,18.2,6.29
Net Income Growth,53.16%,472.91%,247.52%,-60.72%,189.44%,-
Shares Outstanding (Basic),59,58,58,58,33,11
Shares Outstanding (Diluted),59,58,58,58,33,11
Shares Change,1.60%,0.33%,0.02%,74.39%,197.79%,-
EPS (Basic),3.67,2.44,0.43,0.12,0.55,0.56
EPS (Diluted),3.67,2.43,0.43,0.12,0.54,0.56
EPS Growth,51.03%,465.12%,258.33%,-77.78%,-3.57%,-
Free Cash Flow Per Share,-7.54,9.12,1.39,0.93,-3.56,0.42
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,71.73%,61.33%,47.12%,31.18%,58.47%,49.41%
Profit Margin,37.26%,53.50%,29.78%,9.62%,31.51%,32.43%
Free Cash Flow Margin,-76.57%,200.20%,96.68%,72.36%,-205.18%,24.39%
Effective Tax Rate,15.02%,14.10%,16.57%,16.07%,2.25%,-9.09%
EBITDA,327.74,188.65,43.8,25.2,34.84,9.77
EBITDA Margin,56.04%,70.93%,52.53%,33.92%,60.31%,50.39%
Depreciation & Amortization,5.83,4.39,3.83,2.03,1.49,0.2
EBIT,321.91,184.26,39.97,23.16,33.35,9.57
EBIT Margin,55.04%,69.28%,47.93%,31.18%,57.74%,49.37%
