Year,2022,2021,2020,2019,2018,2017
Revenue,72.45,60.82,49.82,42.68,31.28,21.87
Revenue Growth (YoY),19.11%,22.09%,16.72%,36.44%,43.00%,-
Gross Profit,72.45,60.82,49.82,42.68,31.28,21.87
"Selling, General & Admin",32.54,26.75,24.25,21,16.44,12.54
Other Operating Expenses,6.52,6.11,6,4.38,3.54,3.12
Operating Expenses,39.06,32.87,30.26,25.38,19.98,15.66
Operating Income,33.39,27.96,19.56,17.3,11.3,6.22
Pretax Income,33.39,27.96,19.56,17.3,11.3,6.22
Income Tax,6.71,5.79,3.84,3.35,2.09,2.33
Net Income,26.67,22.17,15.72,13.95,9.21,3.88
Preferred Dividends,2.16,2.16,0.64,0,0,0
Net Income Common,24.52,20.02,15.08,13.95,9.21,3.88
Net Income Growth,22.50%,32.71%,8.11%,51.48%,137.21%,-
Shares Outstanding (Basic),7,8,8,8,7,5
Shares Outstanding (Diluted),-,-,-,-,7,5
Shares Change,-2.10%,0.89%,-8.86%,24.16%,39.22%,-
EPS (Basic),3.26,2.65,1.85,1.69,1.38,0.81
EPS (Diluted),3.26,2.65,1.85,1.69,1.38,0.81
EPS Growth,23.02%,43.24%,9.47%,22.46%,70.37%,-
Free Cash Flow Per Share,3.46,3.28,2.10,1.91,1.69,0.89
Dividend Per Share,0.250,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,46.09%,45.96%,39.26%,40.54%,36.13%,28.42%
Profit Margin,33.84%,32.91%,30.27%,32.69%,29.44%,17.75%
Free Cash Flow Margin,35.56%,40.95%,31.69%,36.97%,35.95%,19.43%
Effective Tax Rate,20.11%,20.69%,19.65%,19.38%,18.53%,37.55%
EBITDA,35.97,30.32,21.7,19.13,12.97,7.52
EBITDA Margin,49.65%,49.85%,43.55%,44.83%,41.47%,34.38%
Depreciation & Amortization,2.58,2.37,2.14,1.83,1.67,1.3
EBIT,33.39,27.96,19.56,17.3,11.3,6.22
EBIT Margin,46.09%,45.96%,39.26%,40.54%,36.13%,28.42%
