Year,2022,2021,2020,2019
Revenue,74.41,60.73,46.82,35.86
Revenue Growth (YoY),22.52%,29.72%,30.56%,-
Gross Profit,74.41,60.73,46.82,35.86
"Selling, General & Admin",29.96,27.44,24.28,18.65
Other Operating Expenses,9.66,9,7.9,9.12
Operating Expenses,39.61,36.44,32.19,27.77
Operating Income,34.8,24.3,14.63,8.09
Pretax Income,34.8,24.3,14.63,8.09
Income Tax,7.73,5.73,2.53,2.49
Net Income,27.07,18.57,12.11,5.6
Net Income Growth,45.80%,53.36%,116.12%,-
Shares Outstanding (Basic),9,9,9,-
Shares Change,-3.39%,3.44%,-,-
EPS (Basic),3.08,2.26,1.58,0.82
EPS (Diluted),3.02,2.23,1.56,0.81
EPS Growth,35.43%,42.95%,92.59%,-
Free Cash Flow Per Share,4.17,2.80,0.59,-
Dividend Per Share,0.360,0.090,-,-
Dividend Growth,300.00%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,46.76%,40.01%,31.26%,22.56%
Profit Margin,36.38%,30.57%,25.86%,15.62%
Free Cash Flow Margin,48.74%,41.49%,11.07%,26.85%
Effective Tax Rate,22.20%,23.59%,17.26%,30.74%
EBITDA,36.32,26.45,16.85,9.38
EBITDA Margin,48.81%,43.55%,36.00%,26.16%
Depreciation & Amortization,1.53,2.15,2.22,1.29
EBIT,34.8,24.3,14.63,8.09
EBIT Margin,46.76%,40.01%,31.26%,22.56%
