Year,2022,2021,2020,2019,2018,2017
Revenue,980.72,567.29,240.92,137.84,79.88,48.01
Revenue Growth (YoY),72.88%,135.47%,74.78%,72.56%,66.36%,-
Gross Profit,980.72,567.29,240.92,137.84,79.88,48.01
"Selling, General & Admin",719.45,400.05,174.11,96.96,51.65,40.36
Other Operating Expenses,260.07,153.67,68.23,35.13,17.47,1.44
Operating Expenses,979.51,553.72,242.34,132.08,69.12,41.8
Operating Income,1.21,13.57,-1.42,5.76,10.76,6.21
Interest Expense / Income,71.07,26.9,7.86,10.64,6.63,1.91
Other Expense / Income,-28.81,17.3,6.42,3.75,4.76,0.46
Pretax Income,-41.06,-30.63,-15.7,-8.63,-0.62,3.85
Income Tax,0.72,0.02,-0.01,0.02,0,0
Net Income,-41.77,-30.65,-15.7,-8.65,-0.62,3.85
Shares Outstanding (Basic),57,48,27,18,60,-
Shares Outstanding (Diluted),57,48,27,18,-,-
Shares Change,19.41%,75.11%,51.68%,-69.93%,-,-
EPS (Basic),-0.74,-0.64,-0.58,-0.48,-,-
EPS (Diluted),-0.74,-0.64,-0.58,-0.48,-,-
Free Cash Flow Per Share,-0.43,0.73,1.15,0.57,0.19,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,0.12%,2.39%,-0.59%,4.18%,13.47%,12.94%
Profit Margin,-4.26%,-5.40%,-6.52%,-6.28%,-0.78%,8.02%
Free Cash Flow Margin,-2.49%,6.14%,13.01%,7.47%,14.11%,15.80%
EBITDA,116.37,47.78,12.32,12.56,9.09,7.19
EBITDA Margin,11.87%,8.42%,5.11%,9.11%,11.38%,14.98%
Depreciation & Amortization,86.36,51.51,20.17,10.55,3.09,1.44
EBIT,30.02,-3.73,-7.84,2.01,6,5.76
EBIT Margin,3.06%,-0.66%,-3.26%,1.46%,7.51%,11.99%
