Year,2022,2021,2020,2019,2018,2017
Revenue,188.74,191.2,129.48,203.23,165.81,155.69
Revenue Growth (YoY),-1.29%,47.66%,-36.29%,22.57%,6.50%,-
Cost of Revenue,33.83,44.04,31.76,31.09,28.83,53.4
Gross Profit,154.91,147.16,97.72,172.14,136.99,102.29
"Selling, General & Admin",229.01,220.34,151.25,116.06,74.09,55.06
Operating Expenses,229.01,220.34,151.25,116.06,74.09,55.06
Operating Income,-74.1,-73.18,-53.52,56.08,62.89,47.24
Interest Expense / Income,0,0,0,1.05,0,2.31
Other Expense / Income,-12.51,-17.2,-18.23,-7.9,-9.96,-0.53
Pretax Income,-61.59,-55.98,-35.3,62.93,72.86,45.45
Income Tax,-0.93,-9.61,-2.39,9.4,8.26,7.64
Net Income,-60.67,-46.37,-32.9,53.53,64.6,37.81
Net Income Growth,-,-,-,-17.13%,70.83%,-
Shares Outstanding (Basic),90,90,90,85,80,80
Shares Outstanding (Diluted),90,90,90,85,80,80
Shares Change,-,-,6.44%,6.25%,-,-
EPS (Basic),-1.01,-0.77,-0.55,0.94,1.21,0.71
EPS (Diluted),-1.01,-0.77,-0.55,0.94,1.21,0.71
EPS Growth,-,-,-,-21.90%,70.66%,-
Free Cash Flow Per Share,-0.24,-0.19,-1.52,1.66,0.83,-0.45
Gross Margin,82.07%,76.96%,75.47%,84.70%,82.62%,65.70%
Operating Margin,-39.26%,-38.28%,-41.34%,27.59%,37.93%,30.34%
Profit Margin,-32.14%,-24.25%,-25.41%,26.34%,38.96%,24.29%
Free Cash Flow Margin,-7.57%,-5.89%,-70.66%,46.15%,26.80%,-15.26%
Effective Tax Rate,-,-,-,14.93%,11.34%,16.81%
EBITDA,-41.52,-42.34,-26.18,65.72,74.72,49.43
EBITDA Margin,-22.00%,-22.14%,-20.22%,32.34%,45.06%,31.75%
Depreciation & Amortization,20.07,13.64,9.12,1.74,1.87,1.67
EBIT,-61.59,-55.98,-35.3,63.98,72.86,47.77
EBIT Margin,-32.63%,-29.28%,-27.26%,31.48%,43.94%,30.68%
