Year,2022,2021,2020,2019,2018,2017,2016
Revenue,104.22,84.45,68.7,60.52,51.41,38.13,26.85
Revenue Growth (YoY),23.41%,22.93%,13.51%,17.72%,34.84%,42.00%,-
Gross Profit,104.22,84.45,68.7,60.52,51.41,38.13,26.85
"Selling, General & Admin",32.21,20.96,22.47,17.04,16.43,13.02,10.89
Other Operating Expenses,27.46,23.7,23.1,18.08,15.74,11.12,9.17
Operating Expenses,59.67,44.66,45.57,35.12,32.16,24.14,20.05
Operating Income,44.55,39.79,23.13,25.4,19.25,13.99,6.8
Other Expense / Income,0.31,-,-,-,-,-,-
Pretax Income,44.24,39.79,23.13,25.4,19.25,13.99,6.8
Income Tax,12.03,10.57,5.35,8.11,11.62,0,0
Net Income,32.21,29.22,17.78,17.29,7.63,13.99,6.8
Preferred Dividends,0.49,8.59,48.96,0,0,0,0
Net Income Common,31.72,20.64,-31.18,17.29,7.63,13.99,6.8
Net Income Growth,53.72%,-,-,126.60%,-45.45%,105.81%,-
Shares Outstanding (Basic),32,23,20,19,19,-,-
Shares Outstanding (Diluted),34,34,20,-,-,-,-
Shares Change,0.44%,69.17%,5.72%,-,-,-,-
EPS (Basic),0.99,0.90,-1.55,-,-,-,-
EPS (Diluted),0.94,0.86,-1.55,-,-,-,-
EPS Growth,9.30%,-,-,-,-,-,-
Free Cash Flow Per Share,1.51,2.51,2.65,-5.65,-3.90,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,42.75%,47.12%,33.67%,41.97%,37.44%,36.69%,25.32%
Profit Margin,30.44%,24.43%,-45.38%,28.57%,14.84%,36.69%,25.32%
Free Cash Flow Margin,46.39%,67.84%,77.61%,-177.36%,-144.31%,90.65%,100.01%
Effective Tax Rate,27.20%,26.56%,23.14%,31.92%,60.36%,-,-
EBITDA,46.36,42.2,25.58,27.87,20.68,15.18,7.31
EBITDA Margin,44.48%,49.97%,37.23%,46.04%,40.23%,39.82%,27.23%
Depreciation & Amortization,2.12,2.41,2.45,2.47,1.43,1.19,0.51
EBIT,44.24,39.79,23.13,25.4,19.25,13.99,6.8
EBIT Margin,42.45%,47.12%,33.67%,41.97%,37.44%,36.69%,25.32%
