Year,2022,2021,2020
"Selling, General & Admin",3.02,2.48,0.04
Other Operating Expenses,0.23,0.2,0.06
Operating Expenses,3.24,2.68,0.1
Operating Income,-3.24,-2.68,-0.1
Other Expense / Income,-13.45,-14.31,5.95
Pretax Income,10.2,11.63,-6.05
Income Tax,0.77,0,0
Net Income,9.44,11.63,-6.05
Net Income Growth,-18.83%,-,-
Shares Outstanding (Basic),29,29,5
Shares Outstanding (Diluted),29,29,5
Shares Change,-0.34%,509.85%,-
EPS (Basic),0.33,0.40,-
EPS (Diluted),0.33,0.40,-
EPS Growth,-17.50%,-,-
Free Cash Flow Per Share,-0.03,-0.04,-0.12
Effective Tax Rate,7.50%,-,-
EBITDA,10.2,11.63,-6.05
EBIT,10.2,11.63,-6.05
