Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Revenue,"1,341.09","1,459.75",821.62,"1,135.19","1,144.55","1,050.39","1,008.04",862.18,693.07,306.17,Upgrade
Revenue Growth (YoY),-8.13%,77.67%,-27.62%,-0.82%,8.96%,4.20%,16.92%,24.40%,126.37%,0.33%,Upgrade
Gross Profit,"1,341.09","1,459.75",821.62,"1,135.19","1,144.55","1,050.39","1,008.04",862.18,693.07,306.17,Upgrade
"Selling, General & Admin",505.98,457.15,355.83,370.83,363.02,342.01,325.18,266.68,220.72,146.02,Upgrade
Other Operating Expenses,267.54,180.27,"1,628.19",131.43,148.22,153.66,124.92,115.36,184.87,82.15,Upgrade
Operating Expenses,773.52,637.42,"1,984.02",502.25,511.23,495.66,450.1,382.04,405.59,228.17,Upgrade
Operating Income,567.57,822.33,"-1,162.4",632.94,633.32,554.73,557.94,480.14,287.47,78,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,2.68,0.62,Upgrade
Pretax Income,567.57,822.33,"-1,162.4",632.94,633.32,554.73,557.94,480.14,284.8,77.38,Upgrade
Income Tax,143.96,215.38,75.17,164.3,167.98,196.91,205.77,180.52,115.89,32.27,Upgrade
Net Income,423.61,606.96,"-1,237.57",468.64,465.34,357.82,352.17,299.62,168.91,45.12,Upgrade
Preferred Dividends,19.34,0,0,0,0,0,0,0,0,0,Upgrade
Net Income Common,404.27,606.96,"-1,237.57",468.64,465.34,357.82,352.17,299.62,168.91,45.12,Upgrade
Net Income Growth,-33.39%,-,-,0.71%,30.05%,1.60%,17.54%,77.39%,274.39%,-20.57%,Upgrade
Shares Outstanding (Basic),118,117,117,118,122,129,120,120,102,44,Upgrade
Shares Change,0.47%,0.41%,-1.21%,-2.92%,-5.56%,7.20%,0.07%,17.95%,129.96%,24.13%,Upgrade
EPS (Basic),3.37,5.10,-10.61,3.90,3.72,2.91,2.90,2.79,1.92,1.08,Upgrade
EPS (Diluted),3.37,5.10,-10.61,3.90,3.72,2.91,2.90,2.79,1.92,1.08,Upgrade
EPS Growth,-33.92%,-,-,4.84%,27.84%,0.34%,3.94%,45.31%,77.78%,-29.87%,Upgrade
Free Cash Flow Per Share,4.93,3.88,3.64,4.34,4.66,3.20,4.33,4.32,3.57,1.05,Upgrade
Dividend Per Share,1.000,1.000,1.350,2.400,2.300,2.000,2.000,2.000,1.250,1.000,Upgrade
Dividend Growth,0%,-25.93%,-43.75%,4.35%,15.00%,0%,0%,60.00%,25.00%,26.58%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,42.32%,56.33%,-141.48%,55.76%,55.33%,52.81%,55.35%,55.69%,41.48%,25.48%,Upgrade
Profit Margin,30.15%,41.58%,-150.63%,41.28%,40.66%,34.07%,34.94%,34.75%,24.37%,14.74%,Upgrade
Free Cash Flow Margin,43.33%,31.17%,51.68%,45.16%,49.55%,39.30%,51.72%,60.29%,52.48%,15.25%,Upgrade
Effective Tax Rate,25.36%,26.19%,-,25.96%,26.52%,35.50%,36.88%,37.60%,40.69%,41.70%,Upgrade
EBITDA,664.97,917.67,"-1,073.38",720.17,690.99,601,607.34,514.43,311.48,108.89,Upgrade
EBITDA Margin,49.58%,62.86%,-130.64%,63.44%,60.37%,57.22%,60.25%,59.67%,44.94%,35.57%,Upgrade
Depreciation & Amortization,97.4,95.34,89.02,87.23,57.67,46.27,49.4,34.3,26.69,31.51,Upgrade
EBIT,567.57,822.33,"-1,162.4",632.94,633.32,554.73,557.94,480.14,284.8,77.38,Upgrade
EBIT Margin,42.32%,56.33%,-141.48%,55.76%,55.33%,52.81%,55.35%,55.69%,41.09%,25.27%,Upgrade
