Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Revenue,207.26,171.24,182.12,221.3,207.53,165,110.97,69.19,32.98,4.97
Revenue Growth (YoY),21.03%,-5.97%,-17.70%,6.64%,25.77%,48.69%,60.39%,109.77%,563.80%,-
Cost of Revenue,50.22,46.02,47.2,54.19,52.63,40.41,27.26,17.79,7.95,0.63
Gross Profit,157.04,125.22,134.92,167.11,154.9,124.59,83.71,51.4,25.03,4.34
"Selling, General & Admin",5.57,5.49,5.28,4.84,5.44,5.02,4.27,3.8,3.45,2.42
Other Operating Expenses,3.47,2.12,1.25,0.94,0.93,0.93,0.78,0.6,0.63,2.08
Operating Expenses,9.04,7.61,6.53,5.78,6.37,5.95,5.05,4.4,4.07,4.5
Operating Income,148,117.6,128.39,161.33,148.53,118.64,78.66,47,20.96,-0.15
Interest Expense / Income,43.96,30.75,39.58,50.59,37.8,24.51,16.46,9.58,3.65,0.35
Other Expense / Income,18.41,-73.5,81.98,49.41,71.62,9.93,-7.62,18.75,11.7,1.42
Pretax Income,85.64,160.35,6.83,61.33,39.12,84.2,69.81,18.67,5.61,-1.93
Net Income,85.64,160.35,6.83,61.33,39.12,84.2,69.81,18.67,5.61,-1.93
Preferred Dividends,3.5,3.5,2.28,0,0,0,0,0,0,0
Net Income Common,82.14,156.85,4.55,61.33,39.12,84.2,69.81,18.67,5.61,-1.93
Net Income Growth,-47.63%,3344.29%,-92.57%,56.79%,-53.55%,20.61%,273.85%,232.61%,-,-
Shares Outstanding (Basic),52,54,56,60,63,53,36,25,13,3
Shares Outstanding (Diluted),57,60,56,60,63,53,36,25,13,3
Shares Change,-3.44%,5.51%,-6.26%,-3.75%,17.99%,46.59%,45.60%,89.67%,334.03%,-
EPS (Basic),1.58,2.89,0.08,1.02,0.63,1.59,1.93,0.75,0.43,-0.64
EPS (Diluted),1.58,2.89,0.08,1.02,0.63,1.59,1.93,0.75,0.43,-0.64
EPS Growth,-45.33%,3512.50%,-92.16%,61.90%,-60.38%,-17.62%,157.33%,74.42%,-,-
Free Cash Flow Per Share,0.28,1.39,5.41,-1.53,0.46,-7.28,-8.70,-15.70,-32.52,-68.89
Dividend Per Share,1.640,1.500,1.470,1.740,1.680,1.110,-,-,-,-
Dividend Growth,9.33%,2.04%,-15.52%,3.57%,51.35%,-,-,-,-,-
Gross Margin,75.77%,73.12%,74.08%,75.51%,74.64%,75.51%,75.43%,74.29%,75.89%,87.42%
Operating Margin,71.41%,68.68%,70.50%,72.90%,71.57%,71.91%,70.88%,67.93%,63.55%,-3.06%
Profit Margin,39.63%,91.60%,2.50%,27.71%,18.85%,51.03%,62.91%,26.99%,17.02%,-38.78%
Free Cash Flow Margin,7.00%,44.05%,167.56%,-41.52%,13.88%,-233.73%,-283.51%,-563.59%,-1290.82%,-4181.97%
EBITDA,129.6,191.11,46.41,111.92,76.92,108.71,86.27,28.26,9.26,-1.57
EBITDA Margin,62.53%,111.60%,25.48%,50.57%,37.06%,65.88%,77.74%,40.84%,28.08%,-31.68%
EBIT,129.6,191.11,46.41,111.92,76.92,108.71,86.27,28.26,9.26,-1.57
EBIT Margin,62.53%,111.60%,25.48%,50.57%,37.06%,65.88%,77.74%,40.84%,28.08%,-31.68%
