Year,2022,2021,2020
"Selling, General & Admin",1.7,3.92,0.24
Operating Expenses,1.7,3.92,0.24
Operating Income,-1.7,-3.92,-0.24
Other Expense / Income,-24.92,-92.97,90.19
Pretax Income,23.22,89.05,-90.42
Net Income,23.22,89.05,-90.42
Net Income Growth,-73.93%,-,-
Shares Outstanding (Basic),65,74,39
Shares Outstanding (Diluted),65,74,39
Shares Change,-11.94%,91.97%,-
EPS (Basic),0.35,1.20,-2.33
EPS (Diluted),0.35,1.20,-2.33
EPS Growth,-70.83%,-,-
Free Cash Flow Per Share,-0.03,-0.03,-0.00
EBITDA,23.22,89.05,-90.42
EBIT,23.22,89.05,-90.42
