Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,1.69,1.21,0,0,0,0,0.36,0.51,0.04,1.61,Upgrade
Revenue Growth (YoY),39.49%,-,-,-,-,-98.74%,-29.83%,1224.62%,-97.63%,25.08%,Upgrade
Cost of Revenue,0.43,0.27,0,0,0,0,0.26,0.29,0.01,1.11,Upgrade
Gross Profit,1.27,0.94,0,0,0,0,0.09,0.22,0.03,0.5,Upgrade
"Selling, General & Admin",5.31,17.35,1.94,1.43,0.99,1.57,1.32,8.11,14.32,0.41,Upgrade
Research & Development,0.61,0.71,0.05,0,0,0,0,0,0,0,Upgrade
Other Operating Expenses,12.84,0.79,0,0,0,0,0.23,0.3,0.28,0,Upgrade
Operating Expenses,18.76,18.86,1.99,1.43,0.99,1.57,1.55,8.41,14.59,0.41,Upgrade
Operating Income,-17.5,-17.91,-1.99,-1.43,-0.99,-1.57,-1.46,-8.2,-14.56,0.09,Upgrade
Interest Expense / Income,0,0.19,0.05,0.09,0,0,0.01,0.01,0,0,Upgrade
Other Expense / Income,-1.6,-2.05,0.52,0.12,-0.16,43.89,42.8,1.84,0.2,0,Upgrade
Pretax Income,-15.89,-16.05,-2.56,-1.64,-0.83,-45.46,-44.27,-10.05,-14.76,0.09,Upgrade
Net Income,-15.89,-16.05,-2.56,-1.64,-0.83,-45.46,-44.27,-10.05,-14.76,0.09,Upgrade
Preferred Dividends,0,5.07,0,0.1,0.01,0,0,0,0,0,Upgrade
Net Income Common,-15.89,-21.12,-2.56,-1.74,-0.83,-45.46,-44.27,-10.05,-14.76,0.09,Upgrade
Shares Outstanding (Basic),13,7,3,2,1,0,0,0,0,0,Upgrade
Shares Outstanding (Diluted),13,7,3,2,1,0,0,0,0,-,Upgrade
Shares Change,86.14%,129.29%,87.81%,28.26%,200.77%,1263.85%,226.13%,22.48%,9.34%,-,Upgrade
EPS (Basic),-1.25,-3.09,-0.86,-1.10,-0.70,-111.01,-1467.15,-1086.11,-1980.16,-,Upgrade
EPS (Diluted),-1.25,-3.09,-0.86,-1.10,-0.70,-111.01,-1467.15,-1086.11,-1980.16,-,Upgrade
Free Cash Flow Per Share,-0.06,-0.71,-1.00,-0.94,-0.41,-3.62,-25.71,-144.88,-186.10,33.16,Upgrade
Dividend Per Share,0.050,-,-,-,-,-,-,-,-,-,Upgrade
Gross Margin,74.80%,77.88%,-,-,-,96.43%,25.72%,42.69%,82.35%,31.00%,Upgrade
Operating Margin,-1033.76%,-1476.45%,-,-,-,-35039.58%,-409.98%,-1619.61%,-38106.37%,5.51%,Upgrade
Profit Margin,-939.04%,-1740.40%,-,-,-,-1014834.13%,-12461.65%,-1984.83%,-38616.78%,5.41%,Upgrade
Free Cash Flow Margin,-46.22%,-401.57%,-,-,-,-33253.10%,-218.53%,-264.98%,-3681.00%,14.23%,Upgrade
EBITDA,-15.89,-15.86,-2.51,-1.55,-0.83,-45.46,-44.08,-9.74,-14.73,0.09,Upgrade
EBITDA Margin,-938.80%,-1307.35%,-,-,-,-1014808.04%,-12408.31%,-1923.46%,-38546.95%,5.58%,Upgrade
Depreciation & Amortization,0,0,0,0,0,0,0.18,0.3,0.03,0,Upgrade
EBIT,-15.89,-15.86,-2.51,-1.55,-0.83,-45.46,-44.26,-10.04,-14.76,0.09,Upgrade
EBIT Margin,-939.04%,-1307.43%,-,-,-,-1014834.13%,-12459.56%,-1982.49%,-38616.78%,5.41%,Upgrade
