Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 2003
Revenue,"1,575,363.17","1,611,921.92","1,496,108.8","1,313,064.99","1,189,691.02","1,133,976.31","1,013,958.46","902,162.32","795,638.55","742,043.97",Upgrade
Revenue Growth (YoY),-2.27%,7.74%,13.94%,10.37%,4.91%,11.84%,12.39%,13.39%,7.22%,11.32%,Upgrade
Gross Profit,"1,575,363.17","1,611,921.92","1,496,108.8","1,313,064.99","1,189,691.02","1,133,976.31","1,013,958.46","902,162.32","795,638.55","742,043.97",Upgrade
Other Operating Expenses,"905,858.13","983,134.25","938,951.13","864,397.97","756,075.1","672,214.68","564,724.8","449,557.8","381,761.26","357,891.03",Upgrade
Operating Expenses,"905,858.13","983,134.25","938,951.13","864,397.97","756,075.1","672,214.68","564,724.8","449,557.8","381,761.26","357,891.03",Upgrade
Operating Income,"669,505.04","628,787.67","557,157.67","448,667.02","433,615.92","461,761.62","449,233.66","452,604.52","413,877.29","384,152.94",Upgrade
Interest Expense / Income,"411,666.71","426,590.87","446,655.22","391,775.41","342,620.47","348,358.33","339,964.75","323,181.54","297,106.12","282,854.09",Upgrade
Other Expense / Income,"6,737.37","18,353.61","14,839.37","14,349.22","13,873.58","11,519.45","7,469.33","6,954.33","6,357.51","5,262.72",Upgrade
Pretax Income,"251,100.96","183,843.19","95,663.08","42,542.39","77,121.87","101,883.85","101,799.59","122,468.65","110,413.66","96,036.13",Upgrade
Net Income,"251,100.96","183,843.19","95,663.08","42,542.39","77,121.87","101,883.85","101,799.59","122,468.65","110,413.66","96,036.13",Upgrade
Net Income Growth,36.58%,92.18%,124.87%,-44.84%,-24.30%,0.08%,-16.88%,10.92%,14.97%,25.65%,Upgrade
Shares Outstanding (Basic),"6,916","6,473","6,446","6,428","6,407","6,396","6,377","6,352","6,345","6,340",Upgrade
Shares Change,6.85%,0.41%,0.28%,0.33%,0.17%,0.30%,0.40%,0.11%,0.08%,0.08%,Upgrade
EPS (Basic),72.42,54.52,29.62,13.22,24.04,31.82,31.86,38.49,34.78,30.29,Upgrade
EPS (Diluted),70.88,53.66,29.10,13.06,23.78,31.68,31.66,38.07,34.60,30.13,Upgrade
EPS Growth,32.09%,84.40%,122.82%,-45.08%,-24.94%,0.06%,-16.84%,10.04%,14.85%,25.41%,Upgrade
Free Cash Flow Per Share,163.01,421.27,241.12,148.01,57.34,160.51,71.72,-42.45,19.33,53.44,Upgrade
Dividend Per Share,0.054,-,0.029,0.045,0.078,0.135,0.143,0.140,0.136,0.113,Upgrade
Dividend Growth,-,-,-35.56%,-42.31%,-42.22%,-5.59%,2.14%,2.94%,20.35%,-0.88%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,42.50%,39.01%,37.24%,34.17%,36.45%,40.72%,44.30%,50.17%,52.02%,51.77%,Upgrade
Profit Margin,15.94%,11.41%,6.39%,3.24%,6.48%,8.98%,10.04%,13.58%,13.88%,12.94%,Upgrade
Free Cash Flow Margin,35.78%,84.58%,51.95%,36.23%,15.44%,45.27%,22.55%,-14.94%,7.71%,22.83%,Upgrade
EBITDA,"677,562.24","625,147.76","556,014.68","444,771.53","430,133.09","460,686.59","451,331.62","454,752.88","415,938.18","386,199.75",Upgrade
EBITDA Margin,43.01%,38.78%,37.16%,33.87%,36.16%,40.63%,44.51%,50.41%,52.28%,52.05%,Upgrade
Depreciation & Amortization,"14,794.57","14,713.7","13,696.38","10,453.73","10,390.76","10,444.42","9,567.29","9,102.69","8,418.4","7,309.54",Upgrade
EBIT,"662,767.67","610,434.06","542,318.3","434,317.8","419,742.33","450,242.17","441,764.33","445,650.19","407,519.78","378,890.22",Upgrade
EBIT Margin,42.07%,37.87%,36.25%,33.08%,35.28%,39.70%,43.57%,49.40%,51.22%,51.06%,Upgrade
