Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1994
Revenue,199.55,195.35,198.18,185.55,181.11,166.08,165.94,166.32,165.37,139.83,Upgrade
Revenue Growth (YoY),2.15%,-1.43%,6.80%,2.45%,9.05%,0.08%,-0.23%,0.58%,18.27%,18.17%,Upgrade
Cost of Revenue,131.69,119.88,139.23,132.65,117.52,103.2,101.36,106.2,100.37,89.82,Upgrade
Gross Profit,67.86,75.47,58.95,52.9,63.6,62.88,64.57,60.13,65,50.01,Upgrade
"Selling, General & Admin",47.5,46.81,45.48,39.04,43.45,44.8,43.24,40.92,40.56,32.48,Upgrade
Other Operating Expenses,13.68,11.55,11.75,12.8,13.07,13,14.2,12.69,11.34,9.82,Upgrade
Operating Expenses,61.17,58.36,57.23,51.84,56.52,57.79,57.44,53.62,51.89,42.3,Upgrade
Operating Income,6.69,17.11,1.72,1.07,7.08,5.09,7.14,6.51,13.1,7.71,Upgrade
Interest Expense / Income,1.39,1.61,2.13,2.04,1.72,1.56,1.43,1.61,1.9,2.63,Upgrade
Pretax Income,5.3,15.5,-0.41,-0.97,5.36,3.52,5.71,4.9,11.21,5.08,Upgrade
Income Tax,1.02,3.33,-0.02,-0.27,0.83,0.89,1.32,0.47,0.18,0.65,Upgrade
Net Income,4.28,12.17,-0.39,-0.7,4.53,2.64,4.39,4.43,11.02,4.44,Upgrade
Preferred Dividends,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.47,0.48,0.51,Upgrade
Net Income Common,3.88,11.77,-0.79,-1.1,4.13,2.24,3.99,3.96,10.54,3.93,Upgrade
Net Income Growth,-67.02%,-,-,-,84.58%,-43.92%,0.68%,-62.41%,168.33%,41.19%,Upgrade
Shares Outstanding (Basic),20,20,20,20,20,20,21,21,21,21,Upgrade
Shares Change,-0.17%,-0.32%,1.39%,-1.17%,0.12%,-0.64%,-0.36%,-2.73%,0.42%,-5.75%,Upgrade
EPS (Basic),0.19,0.58,-0.04,-0.05,0.20,0.11,0.19,0.19,0.50,0.19,Upgrade
EPS (Diluted),0.19,0.56,-0.04,-0.05,0.20,0.11,0.19,0.19,0.48,0.18,Upgrade
EPS Growth,-66.07%,-,-,-,81.82%,-42.11%,0%,-60.42%,166.67%,50.00%,Upgrade
Free Cash Flow Per Share,0.05,0.43,-0.09,0.21,0.59,0.04,0.09,0.02,0.55,0.28,Upgrade
Dividend Per Share,0.020,-,0.020,0.020,0.020,0.020,0.020,0.040,0.020,0.070,Upgrade
Dividend Growth,-,-,0%,0%,0%,0%,-50.00%,100.00%,-71.43%,250.00%,Upgrade
Gross Margin,34.01%,38.63%,29.75%,28.51%,35.12%,37.86%,38.91%,36.15%,39.30%,35.77%,Upgrade
Operating Margin,3.35%,8.76%,0.87%,0.57%,3.91%,3.06%,4.30%,3.91%,7.92%,5.52%,Upgrade
Profit Margin,1.95%,6.03%,-0.40%,-0.59%,2.28%,1.35%,2.40%,2.38%,6.37%,2.81%,Upgrade
Free Cash Flow Margin,0.49%,4.47%,-0.95%,2.25%,6.66%,0.55%,1.14%,0.20%,7.06%,4.25%,Upgrade
Effective Tax Rate,19.26%,21.51%,-,-,15.46%,25.20%,23.13%,9.67%,1.64%,12.71%,Upgrade
EBITDA,7.69,18.09,2.72,2.05,8.52,6.29,8.25,7.44,13.7,8.18,Upgrade
EBITDA Margin,3.85%,9.26%,1.37%,1.11%,4.70%,3.79%,4.97%,4.48%,8.29%,5.85%,Upgrade
Depreciation & Amortization,1,0.98,1,0.99,1.44,1.21,1.12,0.93,0.6,0.47,Upgrade
EBIT,6.69,17.11,1.72,1.07,7.08,5.09,7.14,6.51,13.1,7.71,Upgrade
EBIT Margin,3.35%,8.76%,0.87%,0.57%,3.91%,3.06%,4.30%,3.91%,7.92%,5.52%,Upgrade
