Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,980.74,952.08,781.68,831.72,779.07,760.03,697.77,679.58,669.75,674.36,Upgrade
Revenue Growth (YoY),3.01%,21.80%,-6.02%,6.76%,2.51%,8.92%,2.68%,1.47%,-0.68%,1.14%,Upgrade
Gross Profit,980.74,952.08,781.68,831.72,779.07,760.03,697.77,679.58,669.75,674.36,Upgrade
"Selling, General & Admin",429.09,397.86,395.37,387.74,369.04,352.53,354.76,341.69,366.78,370.59,Upgrade
Other Operating Expenses,204.64,186.72,181.19,175.67,177.06,173.05,134.76,132.84,92.47,90.85,Upgrade
Operating Expenses,633.73,584.58,576.56,563.41,546.1,525.58,489.52,474.53,459.25,461.43,Upgrade
Operating Income,347.02,367.49,205.11,268.31,232.97,234.45,208.25,205.05,210.5,212.93,Upgrade
Other Expense / Income,-,33.25,2.88,4.33,-,-,-,5.63,-,-,Upgrade
Pretax Income,347.02,334.25,202.24,263.99,232.97,234.45,208.25,199.42,210.5,212.93,Upgrade
Income Tax,60.03,58.75,24.2,37.65,24.58,62.7,46.62,49.92,52.61,51.09,Upgrade
Net Income,286.98,275.5,178.04,226.34,208.39,171.75,161.63,149.5,157.89,161.84,Upgrade
Preferred Dividends,10.25,10.28,2.14,0,0,0,0,0,0,0,Upgrade
Net Income Common,276.73,265.22,175.91,226.34,208.39,171.75,161.63,149.5,157.89,161.84,Upgrade
Net Income Growth,4.34%,50.77%,-22.28%,8.61%,21.33%,6.27%,8.11%,-5.31%,-2.44%,1.25%,Upgrade
Shares Outstanding (Basic),167,161,162,164,176,175,173,174,185,192,Upgrade
Shares Change,3.84%,-0.58%,-1.14%,-6.80%,0.56%,1.07%,-0.44%,-6.06%,-3.73%,-3.34%,Upgrade
EPS (Basic),1.69,1.63,1.08,1.36,1.19,0.98,0.93,0.85,0.85,0.84,Upgrade
EPS (Diluted),1.67,1.62,1.08,1.35,1.18,0.98,0.93,0.85,0.84,0.83,Upgrade
EPS Growth,3.09%,50.00%,-20.00%,14.41%,20.41%,5.38%,9.41%,1.19%,1.20%,3.75%,Upgrade
Free Cash Flow Per Share,3.44,2.01,0.84,0.57,1.46,1.45,1.19,0.86,1.00,1.44,Upgrade
Dividend Per Share,0.660,0.640,0.560,0.560,0.520,0.470,0.410,0.380,0.340,0.320,Upgrade
Dividend Growth,3.13%,14.29%,0%,7.69%,10.64%,14.63%,7.89%,11.76%,6.25%,6.67%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,35.38%,38.60%,26.24%,32.26%,29.90%,30.85%,29.85%,30.17%,31.43%,31.57%,Upgrade
Profit Margin,28.22%,27.86%,22.50%,27.21%,26.75%,22.60%,23.16%,22.00%,23.58%,24.00%,Upgrade
Free Cash Flow Margin,58.83%,34.09%,17.54%,11.30%,32.98%,33.51%,29.58%,22.14%,27.79%,41.14%,Upgrade
Effective Tax Rate,17.30%,17.58%,11.96%,14.26%,10.55%,26.74%,22.39%,25.03%,24.99%,23.99%,Upgrade
EBITDA,378.95,363.64,231.57,293.62,261.13,262.55,235.65,227.28,236.31,241.27,Upgrade
EBITDA Margin,38.64%,38.19%,29.62%,35.30%,33.52%,34.54%,33.77%,33.44%,35.28%,35.78%,Upgrade
Depreciation & Amortization,31.93,29.39,29.33,29.63,28.16,28.1,27.4,27.85,25.81,28.35,Upgrade
EBIT,347.02,334.25,202.24,263.99,232.97,234.45,208.25,199.42,210.5,212.93,Upgrade
EBIT Margin,35.38%,35.11%,25.87%,31.74%,29.90%,30.85%,29.85%,29.34%,31.43%,31.57%,Upgrade
