Year,2022,2021,2020,2019
Revenue,74.79,71.78,36.89,28.52
Revenue Growth (YoY),4.18%,94.59%,29.34%,-
Gross Profit,74.79,71.78,36.89,28.52
"Selling, General & Admin",26.69,22.63,17.53,12.42
Other Operating Expenses,12.06,6.89,4.17,3.26
Operating Expenses,38.76,29.51,21.7,15.69
Operating Income,36.03,42.27,15.19,12.84
Other Expense / Income,-,-,0.05,-
Pretax Income,36.03,42.27,15.14,12.84
Income Tax,10.92,10.69,3.94,3.18
Net Income,25.12,31.58,11.2,9.66
Net Income Growth,-20.48%,182.04%,15.93%,-
Shares Outstanding (Basic),13,9,8,7
Shares Outstanding (Diluted),13,9,8,7
Shares Change,46.65%,12.87%,14.41%,-
EPS (Basic),1.96,3.44,1.29,1.37
EPS (Diluted),1.87,3.27,1.28,1.37
EPS Growth,-42.81%,155.47%,-6.57%,-
Free Cash Flow Per Share,4.24,-1.33,2.37,-1.20
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,48.18%,58.89%,41.18%,45.01%
Profit Margin,33.58%,44.00%,30.36%,33.87%
Free Cash Flow Margin,72.12%,-16.11%,51.49%,-29.55%
Effective Tax Rate,30.30%,25.29%,26.04%,24.75%
EBITDA,40.48,43.31,16.15,13.3
EBITDA Margin,54.12%,60.33%,43.79%,46.62%
Depreciation & Amortization,4.45,1.04,1.01,0.46
EBIT,36.03,42.27,15.14,12.84
EBIT Margin,48.18%,58.89%,41.04%,45.01%
