Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,0.85,10.23,1.21,0.98,3.8,23.84,19.06,6.38,5.56
Revenue Growth (YoY),-91.69%,742.26%,23.75%,-74.20%,-84.05%,25.07%,198.78%,14.77%,-
Cost of Revenue,1.18,0.26,0.1,0.06,10.27,43.11,15.06,0.34,0.43
Gross Profit,-0.33,9.96,1.12,0.92,-6.47,-19.27,4,6.04,5.13
"Selling, General & Admin",1.41,1.31,1.03,1.07,1.28,1.33,1.42,1.44,1.13
Operating Expenses,1.41,1.31,1.03,1.07,1.28,1.33,1.42,1.44,1.13
Operating Income,-1.75,8.66,0.09,-0.15,-7.75,-20.59,2.58,4.6,4
Other Expense / Income,0.04,0.09,0.14,0.16,-2,-,-,-,-
Pretax Income,-1.79,8.57,-0.05,-0.31,-5.75,-20.59,2.58,4.6,4
Net Income,-1.79,8.57,-0.05,-0.31,-5.75,-20.59,2.58,4.6,4
Net Income Growth,-,-,-,-,-,-,-43.90%,15.02%,-
Shares Outstanding (Basic),6,6,6,6,6,6,6,6,5
Shares Outstanding (Diluted),6,6,6,6,6,6,6,6,5
Shares Change,0.64%,0.04%,-,-,-1.29%,-3.56%,-0.55%,24.55%,-
EPS (Basic),-0.31,1.49,-0.01,-0.05,-1.00,-3.55,0.43,0.76,0.82
EPS (Diluted),-0.31,1.49,-0.01,-0.05,-1.00,-3.55,0.43,0.76,0.82
EPS Growth,-,-,-,-,-,-,-43.42%,-7.32%,-
Free Cash Flow Per Share,-0.14,-0.04,-0.05,-0.76,-1.16,-4.53,0.07,1.34,1.77
Dividend Per Share,-,-,-,-,-,0.360,0.480,0.480,0.360
Dividend Growth,-,-,-,-,-,-25.00%,0%,33.33%,-
Gross Margin,-39.18%,97.42%,91.93%,93.48%,-170.09%,-80.81%,20.99%,94.61%,92.25%
Operating Margin,-205.41%,84.66%,7.25%,-15.29%,-203.81%,-86.37%,13.54%,72.12%,71.96%
Profit Margin,-210.47%,83.77%,-4.12%,-31.09%,-151.21%,-86.37%,13.54%,72.12%,71.96%
Free Cash Flow Margin,-97.53%,-2.50%,-23.06%,-445.67%,-174.46%,-110.38%,2.12%,126.80%,155.06%
EBITDA,-1.79,8.57,-0.04,-0.3,-5.73,-20.57,2.6,4.62,4.01
EBITDA Margin,-210.00%,83.83%,-3.29%,-30.07%,-150.74%,-86.27%,13.65%,72.40%,72.19%
Depreciation & Amortization,0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01
EBIT,-1.79,8.57,-0.05,-0.31,-5.75,-20.59,2.58,4.6,4
EBIT Margin,-210.47%,83.77%,-4.12%,-31.09%,-151.21%,-86.37%,13.54%,72.12%,71.96%
