Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Revenue,354.78,386.84,320.31,336.65,330.92,304.29,274.12,245.93,185.94,159.9,Upgrade
Revenue Growth (YoY),-8.29%,20.77%,-4.86%,1.73%,8.75%,11.01%,11.46%,32.26%,16.28%,20.50%,Upgrade
Gross Profit,354.78,386.84,320.31,336.65,330.92,304.29,274.12,245.93,185.94,159.9,Upgrade
"Selling, General & Admin",122.75,130.66,121.54,120.66,107.42,100.13,97.04,91.79,82.19,69.96,Upgrade
Other Operating Expenses,42.35,18.51,22.62,19.2,19.3,18.42,17.97,18.93,17.54,14.62,Upgrade
Operating Expenses,165.1,149.17,144.16,139.86,126.71,118.55,115.02,110.72,99.73,84.58,Upgrade
Operating Income,189.68,237.67,176.15,196.79,204.21,185.74,159.1,135.22,86.22,75.33,Upgrade
Pretax Income,189.68,237.67,176.15,196.79,204.21,185.74,159.1,135.22,86.22,75.33,Upgrade
Income Tax,48.75,60.98,43.93,53.85,51.93,85.5,61.4,51.05,31.96,28.32,Upgrade
Net Income,140.93,176.69,132.22,142.94,152.28,100.23,97.71,84.17,54.26,47.01,Upgrade
Preferred Dividends,0,0,0,0,0,0,0,0.6,0.61,0.57,Upgrade
Net Income Common,140.93,176.69,132.22,142.94,152.28,100.23,97.71,83.57,53.64,46.44,Upgrade
Net Income Growth,-20.24%,33.64%,-7.50%,-6.13%,51.92%,2.58%,16.92%,55.78%,15.51%,33.75%,Upgrade
Shares Outstanding (Basic),32,32,32,34,34,34,34,33,26,26,Upgrade
Shares Change,-0.10%,-0.88%,-4.02%,-2.23%,0.50%,1.62%,0.50%,28.55%,0.90%,2.45%,Upgrade
EPS (Basic),4.40,5.53,4.09,4.18,4.44,2.94,2.91,2.54,2.01,1.81,Upgrade
EPS (Diluted),4.39,5.52,4.09,4.18,4.42,2.92,2.86,2.50,1.95,1.76,Upgrade
EPS Growth,-20.47%,34.96%,-2.15%,-5.43%,51.37%,2.10%,14.40%,28.21%,10.80%,20.55%,Upgrade
Free Cash Flow Per Share,6.04,7.30,4.04,3.87,4.77,4.54,3.25,2.81,2.08,9.82,Upgrade
Dividend Per Share,1.700,1.220,0.880,0.440,-,-,-,-,-,2.249,Upgrade
Dividend Growth,39.34%,38.64%,100.00%,-,-,-,-,-,-,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,53.46%,61.44%,54.99%,58.46%,61.71%,61.04%,58.04%,54.98%,46.37%,47.11%,Upgrade
Profit Margin,39.72%,45.68%,41.28%,42.46%,46.02%,32.94%,35.64%,33.98%,28.85%,29.04%,Upgrade
Free Cash Flow Margin,54.34%,60.27%,40.65%,38.57%,49.55%,50.99%,39.91%,38.19%,29.19%,158.43%,Upgrade
Effective Tax Rate,25.70%,25.66%,24.94%,27.36%,25.43%,46.04%,38.59%,37.75%,37.07%,37.59%,Upgrade
EBITDA,193,243.55,180.84,202.97,211.18,192.62,165.33,143,95.24,79.55,Upgrade
EBITDA Margin,54.40%,62.96%,56.46%,60.29%,63.82%,63.30%,60.31%,58.14%,51.22%,49.75%,Upgrade
Depreciation & Amortization,3.32,5.87,4.7,6.17,6.97,6.88,6.23,7.78,9.03,4.23,Upgrade
EBIT,189.68,237.67,176.15,196.79,204.21,185.74,159.1,135.22,86.22,75.33,Upgrade
EBIT Margin,53.46%,61.44%,54.99%,58.46%,61.71%,61.04%,58.04%,54.98%,46.37%,47.11%,Upgrade
