Year,2022,2021,2020,2019,2018,2017
Revenue,59.85,52.43,45.48,33.57,30.16,11.92
Revenue Growth (YoY),14.15%,15.28%,35.49%,11.30%,153.06%,-
Gross Profit,59.85,52.43,45.48,33.57,30.16,11.92
"Selling, General & Admin",28.16,28.48,24.91,16.97,13.91,8.56
Other Operating Expenses,13.69,13.81,12.53,8.07,8.41,1.46
Operating Expenses,41.85,42.29,37.43,25.04,22.32,10.03
Operating Income,18,10.14,8.05,8.52,7.84,1.89
Other Expense / Income,-0.13,0.48,0.65,0.01,-,-
Pretax Income,18.13,9.66,7.39,8.51,7.84,1.89
Income Tax,4.51,2.25,1.72,2.63,2.36,1.23
Net Income,13.62,7.41,5.67,5.88,5.48,0.67
Net Income Growth,83.71%,30.71%,-3.62%,7.31%,722.74%,-
Shares Outstanding (Basic),18,18,18,10,10,-
Shares Change,0.59%,0.26%,78.36%,-,-,-
EPS (Basic),0.76,0.42,0.32,0.54,0.57,0.19
EPS (Diluted),0.76,0.42,0.32,0.54,0.56,0.18
EPS Growth,80.95%,31.25%,-40.41%,-4.96%,213.89%,-
Free Cash Flow Per Share,1.13,0.91,-0.05,0.58,0.84,-
Dividend Per Share,0.115,0.100,0.075,-,-,-
Dividend Growth,15.00%,33.33%,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,30.07%,19.34%,17.69%,25.39%,26.00%,15.88%
Profit Margin,22.75%,14.14%,12.47%,17.53%,18.18%,5.59%
Free Cash Flow Margin,33.79%,31.08%,-1.82%,17.29%,27.96%,13.18%
Effective Tax Rate,24.89%,23.27%,23.31%,30.90%,30.09%,64.79%
EBITDA,20.38,12.32,9.62,9.68,9.41,2.18
EBITDA Margin,34.05%,23.50%,21.15%,28.83%,31.19%,18.33%
Depreciation & Amortization,2.25,2.66,2.22,1.17,1.57,0.29
EBIT,18.13,9.66,7.39,8.51,7.84,1.89
EBIT Margin,30.29%,18.42%,16.26%,25.36%,26.00%,15.88%
