Year,2022,2021,2020,2019,2018,2017
Revenue,"1,157.91","2,245.02","1,220.22",993.32,508.83,263.33
Revenue Growth (YoY),-48.42%,83.98%,22.84%,95.22%,93.23%,-
Cost of Revenue,734.29,"1,690.76",816.35,631.37,318.3,166.67
Gross Profit,423.62,554.26,403.87,361.95,190.53,96.66
"Selling, General & Admin",386.38,548.19,380.65,326.48,140.79,146.86
Research & Development,80.91,120.48,49.14,33.83,24.94,50.11
Operating Expenses,467.29,668.67,429.78,360.31,165.73,196.96
Operating Income,-43.67,-114.41,-25.91,1.64,24.79,-100.3
Interest Expense / Income,0,0,0,0.19,27.11,0
Other Expense / Income,-12.49,-6.75,-9.39,-13.51,-5.75,-3.53
Pretax Income,-31.19,-107.67,-16.52,14.96,3.43,-96.77
Income Tax,0,0,1.77,0.06,0.28,0.41
Net Income,-31.19,-107.67,-18.29,14.9,3.15,-97.17
Preferred Dividends,0,0,3.2,40.29,30.68,-21.46
Net Income Common,-31.19,-107.67,-21.49,-25.38,-27.52,-75.71
Shares Outstanding (Basic),"1,022","1,022",964,452,445,445
Shares Outstanding (Diluted),"1,022","1,022",964,452,445,445
Shares Change,0.01%,6.02%,113.02%,1.61%,-,-
EPS (Basic),-0.60,-2.20,-0.40,-1.20,-1.20,-3.40
EPS (Diluted),-0.60,-2.20,-0.40,-1.20,-1.20,-3.40
Free Cash Flow Per Share,-1.97,-4.17,2.69,4.95,2.96,-3.94
Gross Margin,36.58%,24.69%,33.10%,36.44%,37.44%,36.71%
Operating Margin,-3.77%,-5.10%,-2.12%,0.17%,4.87%,-38.09%
Profit Margin,-2.69%,-4.80%,-1.76%,-2.56%,-5.41%,-28.75%
Free Cash Flow Margin,-8.71%,-9.49%,10.61%,11.28%,12.93%,-33.32%
Effective Tax Rate,-,-,-,0.38%,8.10%,-
EBITDA,15.03,-67.3,-3.01,18.93,33.62,-93.21
EBITDA Margin,1.30%,-3.00%,-0.25%,1.91%,6.61%,-35.39%
Depreciation & Amortization,46.22,40.37,13.52,3.78,3.08,3.56
EBIT,-31.19,-107.67,-16.52,15.15,30.54,-96.77
EBIT Margin,-2.69%,-4.80%,-1.35%,1.53%,6.00%,-36.75%
