Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,80.78,57.77,45.84,44.07,34.22,24.47,19.19,14.01
Revenue Growth (YoY),39.83%,26.04%,4.00%,28.79%,39.86%,27.52%,36.98%,-
Gross Profit,80.78,57.77,45.84,44.07,34.22,24.47,19.19,14.01
"Selling, General & Admin",35.26,29.72,23.21,20.13,17.57,14.25,11.97,9.49
Other Operating Expenses,6.72,5.34,5.46,4.81,4.73,3.18,2.63,2.69
Operating Expenses,41.98,35.06,28.67,24.93,22.3,17.43,14.6,12.17
Operating Income,38.8,22.71,17.17,19.14,11.92,7.03,4.59,1.84
Pretax Income,38.8,22.71,17.17,19.14,11.92,7.03,4.59,1.84
Income Tax,10.28,4.78,4.55,5,3.19,3.39,1.77,0.66
Net Income,28.52,17.93,12.62,14.14,8.73,3.64,2.82,1.17
Net Income Growth,59.10%,42.06%,-10.78%,61.93%,139.68%,29.13%,140.78%,-
Shares Outstanding (Basic),8,8,8,8,7,7,7,-
Shares Change,3.85%,2.41%,1.61%,1.29%,1.63%,1.59%,-,-
EPS (Basic),3.73,2.40,1.70,1.91,1.18,0.59,0.56,0.25
EPS (Diluted),3.47,2.26,1.65,1.82,1.13,0.58,0.55,0.25
EPS Growth,53.54%,36.97%,-9.34%,61.06%,94.83%,5.45%,120.00%,-
Free Cash Flow Per Share,4.61,3.46,1.63,1.89,1.19,0.52,0.51,-
Dividend Per Share,0.280,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,48.03%,39.31%,37.45%,43.42%,34.85%,28.75%,23.91%,13.11%
Profit Margin,35.30%,31.03%,27.53%,32.09%,25.52%,14.89%,14.71%,8.37%
Free Cash Flow Margin,46.50%,46.97%,27.17%,32.33%,25.89%,15.49%,19.04%,10.59%
Effective Tax Rate,26.50%,21.06%,26.50%,26.10%,26.75%,48.19%,38.49%,36.17%
EBITDA,39.5,23.4,17.74,19.64,12.35,7.45,4.75,2.07
EBITDA Margin,48.90%,40.50%,38.69%,44.57%,36.08%,30.43%,24.78%,14.80%
Depreciation & Amortization,0.7,0.69,0.57,0.51,0.42,0.41,0.17,0.24
EBIT,38.8,22.71,17.17,19.14,11.92,7.03,4.59,1.84
EBIT Margin,48.03%,39.31%,37.45%,43.42%,34.85%,28.75%,23.91%,13.11%
