Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,32.67,28.88,28.61,31.81,28.9,28.27,26.6,27.05,25.34,27.82,Upgrade
Revenue Growth (YoY),13.14%,0.93%,-10.04%,10.08%,2.22%,6.27%,-1.66%,6.77%,-8.93%,0.93%,Upgrade
Gross Profit,32.67,28.88,28.61,31.81,28.9,28.27,26.6,27.05,25.34,27.82,Upgrade
"Selling, General & Admin",15.05,13.45,13.83,13.84,12.12,11.48,11.3,10.84,10.37,10.12,Upgrade
Other Operating Expenses,4.77,5.98,5.73,5.86,5.76,5.3,4.84,5.17,4.73,5.26,Upgrade
Operating Expenses,19.82,19.43,19.55,19.7,17.87,16.78,16.14,16.01,15.1,15.38,Upgrade
Operating Income,12.85,9.45,9.06,12.11,11.02,11.48,10.46,11.04,10.23,12.44,Upgrade
Other Expense / Income,-,-,-,-,-,-,-0.79,0.36,-,3.03,Upgrade
Pretax Income,12.85,9.45,9.06,12.11,11.02,11.48,11.25,10.68,10.23,9.41,Upgrade
Income Tax,2.5,1.41,1.61,2.37,2.19,3.64,3.1,2.82,2.78,2.29,Upgrade
Net Income,10.35,8.04,7.45,9.74,8.83,7.85,8.15,7.86,7.45,7.12,Upgrade
Net Income Growth,28.70%,7.85%,-23.48%,10.27%,12.59%,-3.73%,3.72%,5.50%,4.64%,5.25%,Upgrade
Shares Outstanding (Basic),4,4,4,4,4,4,4,4,4,4,Upgrade
Shares Outstanding (Diluted),4,4,4,4,4,4,4,4,4,4,Upgrade
Shares Change,-0.97%,-0.59%,-0.43%,-1.71%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,Upgrade
EPS (Basic),2.95,2.27,2.09,2.72,2.42,2.15,2.24,2.16,2.04,1.95,Upgrade
EPS (Diluted),2.95,2.27,2.09,2.72,2.42,2.15,2.24,2.16,2.04,1.95,Upgrade
EPS Growth,29.96%,8.61%,-23.16%,12.40%,12.56%,-4.02%,3.70%,5.88%,4.62%,4.84%,Upgrade
Free Cash Flow Per Share,2.32,-2.22,0.39,2.52,3.27,2.14,2.55,2.56,2.69,3.96,Upgrade
Dividend Per Share,1.060,1.040,1.020,1.000,0.960,0.920,0.900,0.880,0.860,0.840,Upgrade
Dividend Growth,1.92%,1.96%,2.00%,4.17%,4.35%,2.22%,2.27%,2.33%,2.38%,2.44%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,39.33%,32.71%,31.66%,38.08%,38.14%,40.62%,39.33%,40.81%,40.39%,44.70%,Upgrade
Profit Margin,31.67%,27.84%,26.05%,30.62%,30.57%,27.76%,30.64%,29.05%,29.40%,25.59%,Upgrade
Free Cash Flow Margin,24.95%,-27.20%,4.80%,28.42%,41.19%,27.53%,34.89%,34.45%,38.63%,51.80%,Upgrade
Effective Tax Rate,19.48%,14.89%,17.72%,19.57%,19.84%,31.67%,27.57%,26.41%,27.21%,24.34%,Upgrade
EBITDA,14.38,10.69,10.73,13.27,11.96,12.5,12.45,11.84,11.01,10.24,Upgrade
EBITDA Margin,44.00%,37.01%,37.48%,41.71%,41.39%,44.22%,46.81%,43.79%,43.46%,36.79%,Upgrade
Depreciation & Amortization,1.53,1.24,1.67,1.16,0.94,1.02,1.2,1.17,0.78,0.83,Upgrade
EBIT,12.85,9.45,9.06,12.11,11.02,11.48,11.25,10.68,10.23,9.41,Upgrade
EBIT Margin,39.33%,32.71%,31.66%,38.08%,38.14%,40.62%,42.30%,39.48%,40.39%,33.82%,Upgrade
