Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,177.76,183.15,130.59,131.83,125.62,121.78,115.18,98.98
Revenue Growth (YoY),-2.94%,40.24%,-0.94%,4.95%,3.16%,5.72%,16.37%,-
Gross Profit,177.76,183.15,130.59,131.83,125.62,121.78,115.18,98.98
"Selling, General & Admin",50.57,48.58,53.28,51.71,51.02,45.78,48.23,47.27
Other Operating Expenses,13.46,10.56,10.21,10.66,11.67,10.76,13.02,15.07
Operating Expenses,64.03,59.15,63.49,62.37,62.69,56.54,61.24,62.34
Operating Income,113.74,124,67.1,69.46,62.93,65.23,53.94,36.64
Other Expense / Income,-,-,10.44,-,-,-,-,-
Pretax Income,113.74,124,56.66,69.46,62.93,65.23,53.94,36.64
Income Tax,33.54,36.25,16.75,20.6,17.87,-4.15,1.82,1.25
Net Income,80.2,87.75,39.91,48.86,45.06,69.38,52.12,35.39
Net Income Growth,-8.61%,119.87%,-18.32%,8.44%,-35.06%,33.12%,47.27%,-
Shares Outstanding (Basic),51,52,52,56,57,43,42,42
Shares Outstanding (Diluted),-,-,-,-,-,43,42,42
Shares Change,-1.19%,-1.38%,-6.47%,-0.90%,31.62%,2.28%,-,-
EPS (Basic),1.58,1.70,0.75,0.87,0.80,1.62,1.24,0.84
EPS (Diluted),1.57,1.70,0.75,0.87,0.79,1.62,1.24,0.84
EPS Growth,-7.65%,126.67%,-13.79%,10.13%,-51.23%,30.65%,47.62%,-
Free Cash Flow Per Share,1.65,2.06,1.21,1.35,1.02,1.80,0.65,0.12
Dividend Per Share,0.480,0.355,0.230,0.231,0.188,-,-,-
Dividend Growth,35.21%,54.35%,-0.43%,22.87%,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,63.98%,67.71%,51.38%,52.69%,50.10%,53.57%,46.83%,37.02%
Profit Margin,45.11%,47.91%,30.56%,37.06%,35.87%,56.98%,45.25%,35.76%
Free Cash Flow Margin,47.48%,58.03%,48.70%,57.27%,45.76%,63.53%,23.57%,5.04%
Effective Tax Rate,29.49%,29.23%,29.56%,29.66%,28.40%,-6.37%,3.37%,3.40%
EBITDA,116.69,126.56,59.34,72.08,65.74,68.13,56.81,38.93
EBITDA Margin,65.64%,69.10%,45.44%,54.68%,52.34%,55.95%,49.32%,39.33%
Depreciation & Amortization,2.95,2.56,2.69,2.62,2.81,2.9,2.87,2.29
EBIT,113.74,124,56.66,69.46,62.93,65.23,53.94,36.64
EBIT Margin,63.98%,67.71%,43.39%,52.69%,50.10%,53.57%,46.83%,37.02%
