Year,2022,2021,2020,2019
Revenue,62.25,62,114.25,61.69
Revenue Growth (YoY),0.40%,-45.73%,85.20%,-
Gross Profit,62.25,62,114.25,61.69
"Selling, General & Admin",47.61,44.92,88.2,48.83
Other Operating Expenses,7.6,5.36,4.98,4.16
Operating Expenses,55.21,50.28,93.18,52.99
Operating Income,7.04,11.72,21.07,8.7
Other Expense / Income,5.83,-15.59,5.29,2.4
Pretax Income,1.21,27.31,15.78,6.3
Income Tax,1.56,2.69,3.08,1.81
Net Income,-0.35,24.62,12.7,4.48
Preferred Dividends,0.83,1.01,0.86,0.46
Net Income Common,-1.18,23.61,11.84,4.02
Net Income Growth,-,99.43%,194.43%,-
Shares Outstanding (Basic),4,4,4,-
Shares Change,1.61%,2.76%,-,-
EPS (Basic),-0.29,6.21,3.45,1.27
EPS (Diluted),-0.22,5.91,3.01,1.27
EPS Growth,-,96.35%,137.01%,-
Free Cash Flow Per Share,107.03,121.36,-28.67,-
Dividend Per Share,0.320,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,11.31%,18.90%,18.44%,14.10%
Profit Margin,-1.90%,38.09%,10.36%,6.52%
Free Cash Flow Margin,694.28%,777.87%,-97.04%,-74.30%
Effective Tax Rate,128.82%,9.85%,19.49%,28.79%
EBITDA,2.93,28.65,17.19,7.79
EBITDA Margin,4.70%,46.21%,15.05%,12.62%
Depreciation & Amortization,1.72,1.34,1.41,1.49
EBIT,1.21,27.31,15.78,6.3
EBIT Margin,1.95%,44.05%,13.81%,10.21%
