Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,"16,258","16,658","14,596","14,300","12,876","12,516","11,521.51","10,418.18","10,904.19","10,318.35",Upgrade
Revenue Growth (YoY),-2.40%,14.13%,2.07%,11.06%,2.88%,8.63%,10.59%,-4.46%,5.68%,4.85%,Upgrade
Cost of Revenue,"12,728","13,476","11,779","10,894","9,744","9,021","8,358.07","7,826.35","7,857.67","7,780.85",Upgrade
Gross Profit,"3,530","3,182","2,817","3,406","3,132","3,495","3,163.45","2,591.83","3,046.52","2,537.51",Upgrade
"Selling, General & Admin","1,499","1,416","1,261","1,204","1,323","1,467","1,310.54","1,127.49","1,391.43","1,300.78",Upgrade
Other Operating Expenses,"1,016",948,833,897,816,739,671.34,576.69,549.86,477.17,Upgrade
Operating Expenses,"2,515","2,364","2,094","2,101","2,139","2,206","1,981.88","1,704.17","1,941.29","1,777.95",Upgrade
Operating Income,"1,015",818,723,"1,305",993,"1,289","1,181.57",887.66,"1,105.23",759.56,Upgrade
Interest Expense / Income,184,127,170,173,147,146,137.62,142.86,96.7,124.31,Upgrade
Other Expense / Income,4,-,-,-,-,-,-,-,-,-,Upgrade
Pretax Income,827,691,553,"1,132",846,"1,143","1,043.95",744.8,"1,008.53",635.25,Upgrade
Income Tax,204,74,138,262,130,-679,342.5,242.63,324.49,216.42,Upgrade
Net Income,623,617,415,870,716,"1,822",701.44,502.17,684.05,418.84,Upgrade
Net Income Growth,0.97%,48.67%,-52.30%,21.51%,-60.70%,159.75%,39.68%,-26.59%,63.32%,-33.72%,Upgrade
Shares Outstanding (Basic),67,68,68,63,63,64,64,66,69,71,Upgrade
Shares Change,-1.13%,-0.50%,8.51%,-0.26%,-2.53%,0.31%,-2.34%,-4.29%,-2.68%,-4.42%,Upgrade
EPS (Basic),9.31,9.10,6.35,13.88,11.25,28.28,10.91,7.55,9.88,5.82,Upgrade
EPS (Diluted),9.21,9.04,6.31,13.62,11.00,27.71,10.79,7.46,9.78,5.78,Upgrade
EPS Growth,1.88%,43.26%,-53.67%,23.82%,-60.30%,156.81%,44.64%,-23.72%,69.20%,-32.16%,Upgrade
Free Cash Flow Per Share,19.72,61.58,48.49,36.30,24.72,30.09,22.13,31.41,32.72,24.47,Upgrade
Dividend Per Share,3.060,2.860,2.800,2.600,2.200,1.820,1.560,1.400,1.260,1.080,Upgrade
Dividend Growth,6.99%,2.14%,7.69%,18.18%,20.88%,16.67%,11.43%,11.11%,16.67%,28.57%,Upgrade
Gross Margin,21.71%,19.10%,19.30%,23.82%,24.32%,27.92%,27.46%,24.88%,27.94%,24.59%,Upgrade
Operating Margin,6.24%,4.91%,4.95%,9.13%,7.71%,10.30%,10.26%,8.52%,10.14%,7.36%,Upgrade
Profit Margin,3.83%,3.70%,2.84%,6.08%,5.56%,14.56%,6.09%,4.82%,6.27%,4.06%,Upgrade
Free Cash Flow Margin,8.11%,24.99%,22.57%,15.90%,12.05%,15.48%,12.33%,19.82%,20.61%,16.74%,Upgrade
Effective Tax Rate,24.67%,10.71%,24.95%,23.14%,15.37%,-59.41%,32.81%,32.58%,32.17%,34.07%,Upgrade
EBITDA,"1,049",861,772,"1,354","1,038","1,342","1,208.42",918.76,"1,120.54",759.56,Upgrade
EBITDA Margin,6.45%,5.17%,5.29%,9.47%,8.06%,10.72%,10.49%,8.82%,10.28%,7.36%,Upgrade
Depreciation & Amortization,38,43,49,49,45,53,26.85,31.1,15.31,0,Upgrade
EBIT,"1,011",818,723,"1,305",993,"1,289","1,181.57",887.66,"1,105.23",759.56,Upgrade
EBIT Margin,6.22%,4.91%,4.95%,9.13%,7.71%,10.30%,10.26%,8.52%,10.14%,7.36%,Upgrade
