Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,390.55,341.98,270.11,312.28,261.82,223.97,218.52,203.56,155,139.41,Upgrade
Revenue Growth (YoY),14.20%,26.61%,-13.50%,19.27%,16.90%,2.49%,7.35%,31.33%,11.18%,7.30%,Upgrade
Gross Profit,390.55,341.98,270.11,312.28,261.82,223.97,218.52,203.56,155,139.41,Upgrade
"Selling, General & Admin",129.85,106.35,112.12,106.07,93.94,82.93,80.72,71.41,57.54,51.94,Upgrade
Other Operating Expenses,86.79,71.92,70.64,79.39,74.53,63.53,65.27,59.44,52.84,41.67,Upgrade
Operating Expenses,216.65,178.28,182.76,185.46,168.47,146.46,146,130.84,110.38,93.6,Upgrade
Operating Income,173.91,163.7,87.35,126.82,93.35,77.51,72.52,72.71,44.62,45.8,Upgrade
Pretax Income,173.91,163.7,87.35,126.82,93.35,77.51,72.52,72.71,44.62,45.8,Upgrade
Income Tax,48.49,46.05,22.54,34.75,25.03,36.96,27.71,28.9,18.51,18.41,Upgrade
Net Income,125.42,117.66,64.81,92.07,68.32,40.55,44.81,43.82,26.11,27.4,Upgrade
Net Income Growth,6.60%,81.53%,-29.61%,34.77%,68.47%,-9.50%,2.27%,67.83%,-4.71%,44.25%,Upgrade
Shares Outstanding (Basic),33,30,30,31,30,23,23,23,23,16,Upgrade
Shares Change,12.16%,-0.18%,-2.46%,0.34%,32.59%,0.50%,0.28%,0.22%,41.29%,0.52%,Upgrade
EPS (Basic),3.85,3.96,2.17,3.02,2.57,1.77,1.96,1.93,1.47,1.71,Upgrade
EPS (Diluted),3.83,3.94,2.16,3.00,2.54,1.74,1.94,1.91,1.46,1.69,Upgrade
EPS Growth,-2.79%,82.41%,-28.00%,18.11%,45.98%,-10.31%,1.57%,30.82%,-13.61%,43.22%,Upgrade
Free Cash Flow Per Share,4.98,4.43,3.76,3.23,2.75,1.90,1.71,2.17,1.01,2.04,Upgrade
Dividend Per Share,1.100,1.000,0.880,0.820,0.700,0.660,0.600,0.520,0.440,0.420,Upgrade
Dividend Growth,10.00%,13.64%,7.32%,17.14%,6.06%,10.00%,15.38%,18.18%,4.76%,16.67%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,44.53%,47.87%,32.34%,40.61%,35.65%,34.61%,33.19%,35.72%,28.79%,32.86%,Upgrade
Profit Margin,32.11%,34.40%,24.00%,29.48%,26.09%,18.11%,20.51%,21.53%,16.84%,19.65%,Upgrade
Free Cash Flow Margin,42.49%,38.53%,41.46%,31.55%,31.97%,19.45%,17.84%,24.24%,14.76%,23.52%,Upgrade
Effective Tax Rate,27.88%,28.13%,25.80%,27.40%,26.81%,47.68%,38.21%,39.74%,41.48%,40.18%,Upgrade
EBITDA,192.29,180.98,104.92,144.05,103.87,85.69,80.37,79.78,50.8,50.64,Upgrade
EBITDA Margin,49.23%,52.92%,38.84%,46.13%,39.67%,38.26%,36.78%,39.19%,32.77%,36.32%,Upgrade
Depreciation & Amortization,18.38,17.28,17.57,17.23,10.51,8.18,7.85,7.06,6.18,4.83,Upgrade
EBIT,173.91,163.7,87.35,126.82,93.35,77.51,72.52,72.71,44.62,45.8,Upgrade
EBIT Margin,44.53%,47.87%,32.34%,40.61%,35.65%,34.61%,33.19%,35.72%,28.79%,32.86%,Upgrade
