Year,2022,2021,2020,2019,2018,2017,2016
Revenue,327.09,247.79,168.46,113.3,72.97,59.47,42.7
Revenue Growth (YoY),32.00%,47.09%,48.69%,55.26%,22.71%,39.28%,-
Cost of Revenue,78.67,41.46,64.12,5.59,6.27,12.13,7.29
Gross Profit,248.41,206.33,104.35,107.7,66.7,47.34,35.4
"Selling, General & Admin",179.99,149.16,98.13,88.56,46.18,40.67,27.49
Operating Expenses,179.99,149.16,98.13,88.56,46.18,40.67,27.49
Operating Income,68.42,57.18,6.22,19.15,20.52,6.67,7.91
Interest Expense / Income,0.87,0.04,0,1.07,2.3,1.75,1.63
Pretax Income,67.55,57.14,6.22,18.08,18.21,4.93,6.28
Income Tax,15.38,11.29,-0.03,7.46,-0.01,1.15,-0.34
Net Income,52.17,45.85,6.26,10.62,18.22,3.78,6.61
Net Income Growth,13.79%,632.73%,-41.09%,-41.70%,381.60%,-42.80%,-
Shares Outstanding (Basic),25,25,25,22,17,17,17
Shares Outstanding (Diluted),26,26,26,22,17,17,17
Shares Change,-1.21%,2.01%,17.24%,28.44%,-,-,-
EPS (Basic),2.07,1.80,0.25,0.49,1.07,0.22,0.39
EPS (Diluted),2.02,1.76,0.24,0.49,1.07,0.22,0.39
EPS Growth,14.77%,633.33%,-51.02%,-54.21%,386.36%,-43.59%,-
Free Cash Flow Per Share,6.48,3.26,2.15,1.93,1.32,1.19,0.88
Gross Margin,75.95%,83.27%,61.94%,95.06%,91.40%,79.61%,82.92%
Operating Margin,20.92%,23.08%,3.69%,16.90%,28.12%,11.22%,18.53%
Profit Margin,15.95%,18.50%,3.71%,9.37%,24.97%,6.36%,15.49%
Free Cash Flow Margin,50.03%,33.48%,31.71%,36.70%,30.80%,33.94%,34.97%
Effective Tax Rate,22.77%,19.76%,-0.55%,41.25%,-0.03%,23.23%,-5.37%
EBITDA,72.54,60.72,7.56,19.36,20.73,6.83,8
EBITDA Margin,22.18%,24.51%,4.49%,17.09%,28.41%,11.49%,18.73%
Depreciation & Amortization,4.12,3.54,1.34,0.22,0.21,0.16,0.09
EBIT,68.42,57.18,6.22,19.15,20.52,6.67,7.91
EBIT Margin,20.92%,23.08%,3.69%,16.90%,28.12%,11.22%,18.53%
