Year,2021,2020,2019,2018,2017
Revenue,"1,365.53",787.72,446.61,256.27,264.28
Revenue Growth (YoY),73.35%,76.38%,74.27%,-3.03%,-
Cost of Revenue,802.7,411.06,242.3,141.54,146.88
Gross Profit,562.83,376.65,204.31,114.73,117.4
"Selling, General & Admin",110.47,48.49,52.36,48.3,35.85
Operating Expenses,110.47,48.49,52.36,48.3,35.85
Operating Income,452.36,328.17,151.94,66.42,81.55
Interest Expense / Income,1.11,7.36,10.21,10.26,0.91
Other Expense / Income,229.06,234.92,137.78,54.52,-2.79
Pretax Income,222.19,85.89,3.96,1.64,83.42
Income Tax,28.3,23.26,3.96,1.64,1.99
Net Income,193.89,62.63,0,0,81.44
Net Income Growth,209.55%,-,-,-,-
Shares Outstanding (Basic),50,30,95,-,-
Shares Outstanding (Diluted),54,33,-,-,-
Shares Change,61.08%,-64.91%,-,-,-
EPS (Basic),3.89,2.11,-,-,-
EPS (Diluted),3.84,2.06,-,-,-
EPS Growth,86.41%,-,-,-,-
Free Cash Flow Per Share,4.26,4.99,0.69,-,-
Dividend Per Share,0.440,0.070,-,-,-
Dividend Growth,528.57%,-,-,-,-
Gross Margin,41.22%,47.82%,45.75%,44.77%,44.42%
Operating Margin,33.13%,41.66%,34.02%,25.92%,30.86%
Profit Margin,14.20%,7.95%,-,-,30.82%
Free Cash Flow Margin,15.54%,18.79%,14.57%,18.89%,18.99%
Effective Tax Rate,12.74%,27.08%,100.00%,100.00%,2.38%
EBITDA,250.28,98.75,21.24,19.79,88.66
EBITDA Margin,18.33%,12.54%,4.76%,7.72%,33.55%
Depreciation & Amortization,26.98,5.5,7.08,7.89,4.33
EBIT,223.3,93.25,14.17,11.9,84.34
EBIT Margin,16.35%,11.84%,3.17%,4.64%,31.91%
