Year,2022,2021,2020,2019
Revenue,103.53,83.19,65.51,52.94
Revenue Growth (YoY),24.44%,26.99%,23.76%,-
Gross Profit,103.53,83.19,65.51,52.94
"Selling, General & Admin",26.54,23.06,18.9,15.6
Other Operating Expenses,14.13,12.98,9.36,6.97
Operating Expenses,40.67,36.04,28.26,22.58
Operating Income,62.86,47.15,37.26,30.36
Pretax Income,62.86,47.15,37.26,30.36
Income Tax,18.06,4.71,1.33,1.06
Net Income,44.8,42.44,35.93,29.3
Net Income Growth,5.56%,18.13%,22.62%,-
Shares Outstanding (Basic),17,17,16,-
Shares Change,0.13%,5.89%,-,-
EPS (Basic),2.61,2.83,3.57,3.40
EPS (Diluted),2.61,2.83,3.57,3.40
EPS Growth,-7.77%,-20.73%,5.00%,-
Free Cash Flow Per Share,2.64,1.62,3.11,-
Dividend Per Share,0.600,0.300,-,-
Dividend Growth,100.00%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,60.72%,56.67%,56.87%,57.35%
Profit Margin,43.27%,51.02%,54.84%,55.35%
Free Cash Flow Margin,43.94%,33.59%,77.30%,53.64%
Effective Tax Rate,28.73%,9.98%,3.56%,3.49%
EBITDA,64.49,47.76,37.72,30.79
EBITDA Margin,62.30%,57.40%,57.57%,58.17%
Depreciation & Amortization,1.64,0.61,0.46,0.43
EBIT,62.86,47.15,37.26,30.36
EBIT Margin,60.72%,56.67%,56.87%,57.35%
