Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,664.58,629.49,582.61,581.36,558.28,507.11,421.45,365.27,356.27,332.28,Upgrade
Revenue Growth (YoY),5.58%,8.05%,0.21%,4.14%,10.09%,20.33%,15.38%,2.53%,7.22%,3.66%,Upgrade
Gross Profit,664.58,629.49,582.61,581.36,558.28,507.11,421.45,365.27,356.27,332.28,Upgrade
"Selling, General & Admin",380.96,354.79,335.94,323.37,306.43,281.61,236.91,204.87,200.96,195.81,Upgrade
Other Operating Expenses,43.3,33.35,40.6,48.65,38.86,65.54,29.93,28.18,25.62,25.45,Upgrade
Operating Expenses,424.27,388.14,376.53,372.03,345.29,347.15,266.85,233.06,226.58,221.26,Upgrade
Operating Income,240.31,241.35,206.08,209.34,212.99,159.97,154.6,132.22,129.69,111.03,Upgrade
Pretax Income,240.31,241.35,206.08,209.34,212.99,159.97,154.6,132.22,129.69,111.03,Upgrade
Income Tax,52.23,51.65,41.4,40.28,44.35,9.25,50.79,40.99,38.34,32.2,Upgrade
Net Income,188.08,189.69,164.68,169.06,168.64,150.72,103.81,91.23,91.35,78.83,Upgrade
Net Income Growth,-0.85%,15.19%,-2.59%,0.25%,11.89%,45.18%,13.79%,-0.13%,15.89%,2.28%,Upgrade
Shares Outstanding (Basic),54,54,54,52,51,51,44,41,41,40,Upgrade
Shares Change,-0.36%,0.73%,3.56%,1.01%,1.14%,14.03%,7.98%,1.24%,0.60%,1.95%,Upgrade
EPS (Basic),3.48,3.51,3.10,3.26,3.28,3.07,2.34,2.21,2.24,1.96,Upgrade
EPS (Diluted),3.46,3.48,3.08,3.23,3.24,3.03,2.32,2.19,2.22,1.94,Upgrade
EPS Growth,-0.57%,12.99%,-4.64%,-0.31%,6.93%,30.60%,5.94%,-1.35%,14.43%,0.52%,Upgrade
Free Cash Flow Per Share,3.80,3.51,3.08,3.81,4.08,3.53,2.78,2.61,2.68,2.21,Upgrade
Dividend Per Share,1.740,1.700,1.660,1.580,1.440,1.320,1.260,1.220,1.160,1.100,Upgrade
Dividend Growth,2.35%,2.41%,5.06%,9.72%,9.09%,4.76%,3.28%,5.17%,5.45%,3.77%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,36.16%,38.34%,35.37%,36.01%,38.15%,31.54%,36.68%,36.20%,36.40%,33.41%,Upgrade
Profit Margin,28.30%,30.13%,28.27%,29.08%,30.21%,29.72%,24.63%,24.98%,25.64%,23.72%,Upgrade
Free Cash Flow Margin,30.71%,30.08%,28.34%,33.85%,37.39%,35.27%,29.26%,29.34%,30.52%,26.88%,Upgrade
Effective Tax Rate,21.74%,21.40%,20.09%,19.24%,20.82%,5.78%,32.85%,31.00%,29.56%,29.00%,Upgrade
EBITDA,270.74,271.51,236.72,241.56,247.34,193.43,174.99,149.42,147.5,128.26,Upgrade
EBITDA Margin,40.74%,43.13%,40.63%,41.55%,44.30%,38.14%,41.52%,40.91%,41.40%,38.60%,Upgrade
Depreciation & Amortization,30.43,30.16,30.64,32.23,34.35,33.46,20.4,17.2,17.81,17.23,Upgrade
EBIT,240.31,241.35,206.08,209.34,212.99,159.97,154.6,132.22,129.69,111.03,Upgrade
EBIT Margin,36.16%,38.34%,35.37%,36.01%,38.15%,31.54%,36.68%,36.20%,36.40%,33.41%,Upgrade
