Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1995
Revenue,49.78,56.02,62.1,71.3,83.92,90.47,90.71,86.79,82.63,82.11,Upgrade
Revenue Growth (YoY),-11.14%,-9.78%,-12.91%,-15.04%,-7.24%,-0.27%,4.51%,5.04%,0.63%,1.98%,Upgrade
Gross Profit,49.78,56.02,62.1,71.3,83.92,90.47,90.71,86.79,82.63,82.11,Upgrade
"Selling, General & Admin",34,31.6,33.75,33.17,32.68,35.06,34.84,33.62,30.17,27.94,Upgrade
Other Operating Expenses,6.37,7.49,17.59,33.22,37.92,37.67,26.74,20.74,18.96,14.57,Upgrade
Operating Expenses,40.37,39.09,51.33,66.38,70.6,72.73,61.57,54.36,49.12,42.51,Upgrade
Operating Income,9.41,16.93,10.76,4.92,13.32,17.74,29.14,32.43,33.51,39.6,Upgrade
Interest Expense / Income,5.37,5.98,8.52,9.5,10.14,9.22,9.01,5.97,5.68,5.12,Upgrade
Other Expense / Income,-,-,-,-,0.02,-0.22,0.02,0.36,-0.69,2,Upgrade
Pretax Income,4.05,10.95,2.25,-4.59,3.16,8.74,20.11,26.1,28.52,32.49,Upgrade
Income Tax,1.05,2.6,-1.22,-0.94,4.26,3.33,7.73,9.24,11.81,12.55,Upgrade
Net Income,3,8.35,3.47,-3.65,-1.1,5.41,12.38,16.86,16.7,19.94,Upgrade
Net Income Growth,-64.10%,140.94%,-,-,-,-56.31%,-26.56%,0.92%,-16.24%,-10.26%,Upgrade
Shares Outstanding (Basic),13,13,13,13,13,12,12,12,12,12,Upgrade
Shares Change,0.79%,-,-0.19%,0.19%,0.83%,0.26%,1.24%,0.76%,0.76%,1.21%,Upgrade
EPS (Basic),0.39,1.09,0.45,-0.46,-0.14,0.70,1.60,1.40,1.38,1.66,Upgrade
EPS (Diluted),0.39,1.09,0.45,-0.46,-0.14,0.69,1.59,1.38,1.36,1.63,Upgrade
EPS Growth,-64.22%,142.22%,-,-,-,-56.60%,15.22%,1.47%,-16.56%,-11.89%,Upgrade
Free Cash Flow Per Share,0.17,1.10,0.82,1.10,1.99,2.13,1.73,1.96,1.72,2.09,Upgrade
Dividend Per Share,-,-,-,-,-,-,-,-,0.240,2.460,Upgrade
Dividend Growth,-,-,-,-,-,-,-,-,-90.24%,720.00%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,18.91%,30.21%,17.33%,6.89%,15.87%,19.61%,32.12%,37.37%,40.55%,48.23%,Upgrade
Profit Margin,6.02%,14.91%,5.58%,-5.12%,-1.31%,5.98%,13.65%,19.42%,20.21%,24.29%,Upgrade
Free Cash Flow Margin,4.38%,24.65%,16.71%,19.51%,29.90%,29.41%,23.76%,27.79%,25.40%,30.92%,Upgrade
Effective Tax Rate,25.90%,23.71%,-54.25%,-,134.71%,38.11%,38.43%,35.41%,41.43%,38.62%,Upgrade
EBITDA,11.2,18.76,13.07,5.3,13.77,18.45,29.57,32.43,34.51,37.89,Upgrade
EBITDA Margin,22.50%,33.49%,21.04%,7.43%,16.41%,20.40%,32.60%,37.37%,41.77%,46.15%,Upgrade
Depreciation & Amortization,1.79,1.84,2.31,0.38,0.47,0.49,0.46,0.37,0.32,0.28,Upgrade
EBIT,9.41,16.93,10.76,4.92,13.3,17.96,29.11,32.07,34.2,37.61,Upgrade
EBIT Margin,18.91%,30.21%,17.33%,6.89%,15.85%,19.85%,32.09%,36.95%,41.38%,45.80%,Upgrade
