Year,2022,2021
"Selling, General & Admin",1.14,0.78
Other Operating Expenses,0.2,0.19
Operating Expenses,1.34,0.97
Operating Income,-1.34,-0.97
Other Expense / Income,-14.4,-10.6
Pretax Income,13.05,9.63
Income Tax,0.87,0
Net Income,12.18,9.63
Net Income Growth,26.51%,-
Shares Outstanding (Basic),40,26
Shares Outstanding (Diluted),40,26
Shares Change,51.49%,-
EPS (Basic),0.31,0.37
EPS (Diluted),0.31,0.37
EPS Growth,-16.22%,-
Free Cash Flow Per Share,-0.02,-0.05
Effective Tax Rate,6.67%,-
EBITDA,13.05,9.63
EBIT,13.05,9.63
