Year,2022,2021,2020,2019
Revenue,11.94,10.09,9.37,8.85
Revenue Growth (YoY),18.42%,7.68%,5.85%,-
Gross Profit,11.94,10.09,9.37,8.85
"Selling, General & Admin",8.19,7.01,6.76,6.15
Other Operating Expenses,1.58,2.46,1.67,1.41
Operating Expenses,9.77,9.47,8.42,7.56
Operating Income,2.18,0.61,0.94,1.29
Pretax Income,2.18,0.61,0.94,1.29
Income Tax,0.42,0.09,0.19,0.23
Net Income,1.75,0.52,0.75,1.06
Net Income Growth,238.61%,-30.84%,-29.15%,-
Shares Outstanding (Basic),3,3,3,-
Shares Outstanding (Diluted),3,3,-,-
Shares Change,0.87%,-7.85%,-,-
EPS (Basic),0.58,0.17,-,-
EPS (Diluted),0.58,0.17,-,-
EPS Growth,241.18%,-,-,-
Free Cash Flow Per Share,0.91,0.54,0.34,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,18.23%,6.06%,10.06%,14.55%
Profit Margin,14.69%,5.14%,8.00%,11.95%
Free Cash Flow Margin,23.04%,16.06%,11.80%,22.88%
Effective Tax Rate,19.43%,15.22%,20.49%,17.90%
EBITDA,2.61,1.05,1.37,1.71
EBITDA Margin,21.84%,10.39%,14.65%,19.35%
Depreciation & Amortization,0.43,0.44,0.43,0.42
EBIT,2.18,0.61,0.94,1.29
EBIT Margin,18.23%,6.06%,10.06%,14.55%
