Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,104.89,115.96,103.49,96,98.91,96.84,93.88,70.72,60.93,33.48,Upgrade
Revenue Growth (YoY),-9.55%,12.05%,7.80%,-2.95%,2.14%,3.15%,32.75%,16.07%,82.01%,70.90%,Upgrade
Cost of Revenue,81.44,69.86,56.23,59.74,62.52,73.92,59,38.88,40.73,15.82,Upgrade
Gross Profit,23.45,46.1,47.26,36.25,36.4,22.92,34.88,31.84,20.2,17.65,Upgrade
"Selling, General & Admin",22.18,28.45,26.11,24.91,25.53,26.25,25.28,16.18,14.7,7.67,Upgrade
Other Operating Expenses,18.79,16.51,18.47,17.58,17.68,17.37,17.6,14.81,12.14,9.16,Upgrade
Operating Expenses,40.97,44.96,44.57,42.49,43.22,43.61,42.88,30.99,26.84,16.83,Upgrade
Operating Income,-17.52,1.14,2.69,-6.24,-6.82,-20.69,-8,0.85,-6.64,0.82,Upgrade
Interest Expense / Income,2.97,2.85,2.93,2.88,2.64,1.36,0.65,0.77,0.58,0.54,Upgrade
Other Expense / Income,-0.37,-0.82,-0.84,-0.39,-0.29,-0.07,-0.13,-0.03,-0,-0.07,Upgrade
Pretax Income,-20.12,-0.89,0.6,-8.74,-9.18,-21.99,-8.51,0.11,-7.22,0.35,Upgrade
Income Tax,-9.44,0.21,0.01,-0.91,0.05,-0.45,-0.08,0.05,-0.28,0,Upgrade
Net Income,-10.68,-1.09,0.6,-7.82,-9.23,-21.54,-8.44,0.06,-6.94,0.35,Upgrade
Preferred Dividends,0,0,0,0,0,0,0,0.54,0.27,0,Upgrade
Net Income Common,-10.68,-1.09,0.6,-7.82,-9.23,-21.54,-8.44,-0.48,-7.2,0.35,Upgrade
Net Income Growth,-,-,-,-,-,-,-,-,-,-15.50%,Upgrade
Shares Outstanding (Basic),11,10,10,9,9,8,8,5,3,2,Upgrade
Shares Outstanding (Diluted),11,10,10,9,9,8,8,5,3,2,Upgrade
Shares Change,10.32%,0.70%,8.39%,3.94%,8.60%,3.27%,41.87%,100.94%,52.74%,0.47%,Upgrade
EPS (Basic),-1.00,-0.11,0.06,-0.88,-1.08,-2.74,-1.11,-0.09,-2.69,0.20,Upgrade
EPS (Diluted),-1.00,-0.11,0.06,-0.88,-1.08,-2.74,-1.11,-0.09,-2.69,0.20,Upgrade
EPS Growth,-,-,-,-,-,-,-,-,-,-16.67%,Upgrade
Free Cash Flow Per Share,-3.79,0.55,0.31,1.73,-2.00,1.15,0.78,-0.61,2.19,1.29,Upgrade
Gross Margin,22.36%,39.76%,45.67%,37.77%,36.80%,23.67%,37.15%,45.02%,33.15%,52.73%,Upgrade
Operating Margin,-16.70%,0.98%,2.60%,-6.50%,-6.90%,-21.37%,-8.52%,1.20%,-10.89%,2.46%,Upgrade
Profit Margin,-10.18%,-0.94%,0.57%,-8.15%,-9.33%,-22.25%,-8.99%,-0.67%,-11.82%,1.04%,Upgrade
Free Cash Flow Margin,-38.59%,4.62%,2.88%,16.00%,-17.28%,9.37%,6.36%,-4.67%,9.62%,6.75%,Upgrade
Effective Tax Rate,-,-,1.00%,-,-,-,-,42.86%,-,0.85%,Upgrade
EBITDA,-16.41,2.91,4.62,-4.83,-5.69,-19.72,-6.88,1.91,-5.73,1.64,Upgrade
EBITDA Margin,-15.65%,2.51%,4.46%,-5.03%,-5.75%,-20.37%,-7.33%,2.70%,-9.41%,4.90%,Upgrade
Depreciation & Amortization,0.74,0.95,1.09,1.02,0.84,0.9,0.99,1.03,0.9,0.75,Upgrade
EBIT,-17.15,1.97,3.53,-5.85,-6.53,-20.63,-7.87,0.88,-6.63,0.89,Upgrade
EBIT Margin,-16.35%,1.70%,3.41%,-6.10%,-6.60%,-21.30%,-8.38%,1.25%,-10.88%,2.67%,Upgrade
