Year,2022,2021,2020,2019,2018
Revenue,764.05,929.98,529.34,337.47,233.69
Revenue Growth (YoY),-17.84%,75.69%,56.86%,44.41%,-
Cost of Revenue,466.81,270.72,167.4,104.42,83.34
Gross Profit,297.24,659.27,361.94,233.05,150.35
"Selling, General & Admin",573.92,448.41,219.44,128.43,97.28
Research & Development,24.73,18.62,12.35,8.33,9.91
Other Operating Expenses,44.6,0,0,0,0
Operating Expenses,643.25,467.03,231.79,136.76,107.19
Operating Income,-346.01,192.24,130.15,96.29,43.16
Interest Expense / Income,43.6,29.32,24.6,1.66,0.93
Other Expense / Income,0.2,4.9,1.57,0.02,0.71
Pretax Income,-389.81,158.02,103.99,94.61,41.52
Income Tax,-92.3,33.16,24.5,22.03,6.62
Net Income,-297.5,124.86,79.48,72.58,34.9
Net Income Growth,-,57.09%,9.51%,107.97%,-
Shares Outstanding (Basic),164,163,97,85,81
Shares Outstanding (Diluted),164,166,97,132,96
Shares Change,-0.91%,69.80%,-26.41%,37.41%,-
EPS (Basic),-1.81,0.77,-0.18,0.70,0.27
EPS (Diluted),-1.81,0.75,-0.18,0.55,0.23
EPS Growth,-,-,-,139.13%,-
Free Cash Flow Per Share,-2.27,-0.85,-0.79,-0.10,-0.13
Gross Margin,38.90%,70.89%,68.38%,69.06%,64.34%
Operating Margin,-45.29%,20.67%,24.59%,28.53%,18.47%
Profit Margin,-38.94%,13.43%,15.02%,21.51%,14.93%
Free Cash Flow Margin,-48.81%,-14.89%,-14.61%,-2.53%,-4.65%
Effective Tax Rate,-,20.98%,23.56%,23.29%,15.94%
EBITDA,-317.42,207.3,136.57,100.98,45.92
EBITDA Margin,-41.54%,22.29%,25.80%,29.92%,19.65%
Depreciation & Amortization,28.79,19.97,7.99,4.7,3.47
EBIT,-346.21,187.34,128.58,96.27,42.45
EBIT Margin,-45.31%,20.14%,24.29%,28.53%,18.16%
