Year,2022,2021,2020,2019,2018,2017,2016
Revenue,67.9,51.31,43.48,43.5,40.76,38.32,29.94
Revenue Growth (YoY),32.33%,18.02%,-0.06%,6.72%,6.37%,27.99%,-
Gross Profit,67.9,51.31,43.48,43.5,40.76,38.32,29.94
"Selling, General & Admin",22.66,16.26,14.13,25.48,11.66,11.25,9.54
Other Operating Expenses,5.98,4.14,3.46,2.95,3.3,3.28,3.58
Operating Expenses,28.64,20.4,17.59,28.43,14.97,14.53,13.12
Operating Income,39.26,30.91,25.88,15.07,25.8,23.79,16.82
Pretax Income,39.26,30.91,25.88,15.07,25.8,23.79,16.82
Income Tax,9.62,7.76,6.62,6.84,0.8,0,0
Net Income,29.64,23.16,19.27,8.23,25,23.79,16.82
Net Income Growth,27.98%,20.21%,134.24%,-67.10%,5.09%,41.46%,-
Shares Outstanding (Basic),9,9,9,10,8,7,7
Shares Outstanding (Diluted),9,9,9,10,8,7,7
Shares Change,1.24%,-3.07%,-7.57%,23.18%,13.04%,-,-
EPS (Basic),3.26,2.56,2.05,0.81,3.08,3.26,2.31
EPS (Diluted),3.22,2.55,2.05,0.81,3.03,3.26,2.31
EPS Growth,26.27%,24.39%,153.09%,-73.27%,-7.06%,41.13%,-
Free Cash Flow Per Share,4.70,3.24,2.65,1.63,3.45,3.01,2.34
Dividend Per Share,0.520,0.450,0.410,0.600,-,-,-
Dividend Growth,15.56%,9.76%,-31.67%,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,57.82%,60.25%,59.54%,34.64%,63.29%,62.08%,56.17%
Profit Margin,43.65%,45.13%,44.31%,18.91%,61.33%,62.08%,56.17%
Free Cash Flow Margin,63.02%,57.25%,57.10%,37.89%,68.59%,57.17%,56.91%
Effective Tax Rate,24.50%,25.09%,25.57%,45.42%,3.09%,-,-
EBITDA,40.66,31.95,26.98,15.92,26.89,24.88,17.62
EBITDA Margin,59.89%,62.26%,62.05%,36.59%,65.98%,64.92%,58.84%
Depreciation & Amortization,1.41,1.03,1.09,0.85,1.1,1.09,0.8
EBIT,39.26,30.91,25.88,15.07,25.8,23.79,16.82
EBIT Margin,57.82%,60.25%,59.54%,34.64%,63.29%,62.08%,56.17%
