Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,"1,754.9","2,130.3","1,889.6","1,960.9","1,800.8","1,774.1","1,576.5","1,506.8","1,539.4","1,475.1",Upgrade
Revenue Growth (YoY),-17.62%,12.74%,-3.64%,8.89%,1.50%,12.53%,4.63%,-2.12%,4.36%,10.83%,Upgrade
Cost of Revenue,"1,166.9","1,314.6","1,208.8","1,220.7","1,047.9","1,064.8",832.5,791.9,770.9,746.9,Upgrade
Gross Profit,588,815.7,680.8,740.2,752.9,709.3,744,714.9,768.5,728.2,Upgrade
"Selling, General & Admin",670.7,702.3,667.7,666,656.1,635.4,547,536.7,537,510.8,Upgrade
Other Operating Expenses,27.2,41.2,-3.9,12.3,0,0,0,0,3.4,19.2,Upgrade
Operating Expenses,697.9,743.5,663.8,678.3,656.1,635.4,547,536.7,540.4,530,Upgrade
Operating Income,-109.9,72.2,17,61.9,96.8,73.9,197,178.2,228.1,198.2,Upgrade
Interest Expense / Income,26.8,21.6,26.9,34.1,31.9,27.7,19.6,19,19.9,20.2,Upgrade
Other Expense / Income,46.5,45.3,36.5,27.8,3.9,6.3,-4.5,-18.3,-7.8,-1.7,Upgrade
Pretax Income,-183.2,5.3,-46.4,0,61,39.9,181.9,177.5,216,179.7,Upgrade
Income Tax,-8,-1.4,7.7,14.1,4,-10.4,35.2,14.3,32.8,36.5,Upgrade
Net Income,-175.2,6.7,-54.1,-14.1,57,50.3,146.7,163.2,183.2,143.2,Upgrade
Preferred Dividends,10.5,10.5,4.6,0,0,0,0,0,0,0,Upgrade
Net Income Common,-185.7,-3.8,-58.7,-14.1,57,50.3,146.7,163.2,183.2,143.2,Upgrade
Net Income Growth,-,-,-,-,13.32%,-65.71%,-10.11%,-10.92%,27.93%,173.80%,Upgrade
Shares Outstanding (Basic),35,35,35,34,34,34,35,35,36,37,Upgrade
Shares Outstanding (Diluted),35,35,35,34,35,35,35,36,37,39,Upgrade
Shares Change,0.47%,0.58%,1.20%,-1.36%,-1.96%,-0.29%,-1.72%,-2.33%,-4.71%,7.00%,Upgrade
EPS (Basic),-5.31,-0.11,-1.70,-0.41,1.68,1.46,4.23,4.62,5.04,3.83,Upgrade
EPS (Diluted),-5.31,-0.11,-1.70,-0.41,1.65,1.42,4.13,4.52,4.96,3.69,Upgrade
EPS Growth,-,-,-,-,16.20%,-65.62%,-8.67%,-8.78%,34.26%,155.15%,Upgrade
Free Cash Flow Per Share,1.35,3.38,1.49,4.47,7.95,3.90,4.32,7.47,2.52,-0.70,Upgrade
Dividend Per Share,1.240,1.240,1.240,1.240,1.080,0.939,0.730,0.632,0.625,0.421,Upgrade
Dividend Growth,0%,0%,0%,14.81%,15.02%,28.63%,15.51%,1.12%,48.46%,34.08%,Upgrade
Gross Margin,33.51%,38.29%,36.03%,37.75%,41.81%,39.98%,47.19%,47.44%,49.92%,49.37%,Upgrade
Operating Margin,-6.26%,3.39%,0.90%,3.16%,5.38%,4.17%,12.50%,11.83%,14.82%,13.44%,Upgrade
Profit Margin,-10.58%,-0.18%,-3.11%,-0.72%,3.17%,2.84%,9.31%,10.83%,11.90%,9.71%,Upgrade
Free Cash Flow Margin,2.68%,5.53%,2.74%,7.80%,14.97%,7.58%,9.51%,17.54%,5.94%,-1.78%,Upgrade
Effective Tax Rate,-,-26.42%,-,-,6.56%,-26.07%,19.35%,8.06%,15.19%,20.31%,Upgrade
EBITDA,-137.9,70.3,13.7,61.4,124.8,101.4,236.9,235.2,273.1,239.5,Upgrade
EBITDA Margin,-7.86%,3.30%,0.73%,3.13%,6.93%,5.72%,15.03%,15.61%,17.74%,16.24%,Upgrade
Depreciation & Amortization,18.5,43.4,33.2,27.3,31.9,33.8,35.4,38.7,37.2,39.6,Upgrade
EBIT,-156.4,26.9,-19.5,34.1,92.9,67.6,201.5,196.5,235.9,199.9,Upgrade
EBIT Margin,-8.91%,1.26%,-1.03%,1.74%,5.16%,3.81%,12.78%,13.04%,15.32%,13.55%,Upgrade
