Year,2022,2021,2020,2019,2018,2017,2016
Revenue,511.14,474.69,610.36,"1,252.01","1,904.45","1,706.24",755.97
Revenue Growth (YoY),7.68%,-22.23%,-51.25%,-34.26%,11.62%,125.70%,-
Gross Profit,511.14,474.69,610.36,"1,252.01","1,904.45","1,706.24",755.97
"Selling, General & Admin",197.04,211.17,190.37,228.14,443.07,545.96,299.23
Other Operating Expenses,141.52,169.76,257.29,302.86,303.65,351.62,168.7
Operating Expenses,338.56,380.93,447.66,531,746.72,897.57,467.92
Operating Income,172.58,93.77,162.7,721.01,"1,157.74",808.67,288.05
Pretax Income,172.58,93.77,162.7,721.01,"1,157.74",808.67,288.05
Income Tax,37.23,28.56,47.85,186.37,296.83,275.99,52.6
Net Income,135.35,65.21,114.85,534.64,860.91,532.67,235.44
Net Income Growth,107.57%,-43.23%,-78.52%,-37.90%,61.62%,126.24%,-
Shares Outstanding (Basic),"1,372","1,372","1,372","1,372","1,360","1,360",-
Shares Change,-,-,-,0.82%,-,-,-
EPS (Basic),2.00,1.00,1.60,7.80,13.80,8.60,3.80
EPS (Diluted),1.80,1.00,1.60,7.20,12.40,8.00,3.80
EPS Growth,80.00%,-37.50%,-77.78%,-41.94%,55.00%,110.53%,-
Free Cash Flow Per Share,12.10,10.01,16.31,18.89,19.30,18.64,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,33.76%,19.75%,26.66%,57.59%,60.79%,47.39%,38.10%
Profit Margin,26.48%,13.74%,18.82%,42.70%,45.21%,31.22%,31.14%
Free Cash Flow Margin,162.32%,144.61%,183.25%,103.48%,68.94%,74.30%,48.24%
Effective Tax Rate,21.57%,30.46%,29.41%,25.85%,25.64%,34.13%,18.26%
EBITDA,174.83,97.59,168.75,731.93,"1,171.04",819.47,294.64
EBITDA Margin,34.20%,20.56%,27.65%,58.46%,61.49%,48.03%,38.98%
Depreciation & Amortization,2.24,3.82,6.05,10.92,13.3,10.8,6.6
EBIT,172.58,93.77,162.7,721.01,"1,157.74",808.67,288.05
EBIT Margin,33.76%,19.75%,26.66%,57.59%,60.79%,47.39%,38.10%
