Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,341.49,341.03,293.71,309.16,291.49,275.36,252.77,247.68,234.48,233.26,Upgrade
Revenue Growth (YoY),0.13%,16.11%,-5.00%,6.06%,5.86%,8.94%,2.06%,5.63%,0.53%,2.66%,Upgrade
Gross Profit,341.49,341.03,293.71,309.16,291.49,275.36,252.77,247.68,234.48,233.26,Upgrade
"Selling, General & Admin",149.48,150.2,141.68,145.2,139.76,131.14,126.2,125.1,119.09,116.01,Upgrade
Other Operating Expenses,35.22,35.95,45.69,43.81,46.7,42.86,37.44,34.02,30.95,33.31,Upgrade
Operating Expenses,184.7,186.15,187.37,189.01,186.47,174,163.65,159.11,150.04,149.31,Upgrade
Operating Income,156.79,154.89,106.34,120.15,105.03,101.36,89.13,88.56,84.44,83.94,Upgrade
Other Expense / Income,0.02,0.02,0.02,0.06,-,-,-,-,-,-,Upgrade
Pretax Income,156.76,154.86,106.32,120.1,105.03,101.36,89.13,88.56,84.44,83.94,Upgrade
Income Tax,36.26,36.33,24.88,28.14,22.61,33.31,31.34,31.08,26.37,28.99,Upgrade
Net Income,120.51,118.53,81.44,91.96,82.41,68.05,57.79,57.49,58.07,54.96,Upgrade
Net Income Growth,1.67%,45.55%,-11.44%,11.58%,21.11%,17.76%,0.52%,-1.00%,5.66%,10.73%,Upgrade
Shares Outstanding (Basic),25,25,26,26,26,26,26,26,26,27,Upgrade
Shares Change,-0.57%,-2.96%,0.18%,-1.76%,0.11%,0.27%,-0.82%,-0.63%,-1.89%,0.18%,Upgrade
EPS (Basic),4.84,4.70,3.17,3.57,3.16,2.60,2.22,2.17,2.17,2.03,Upgrade
EPS (Diluted),4.84,4.70,3.17,3.57,3.16,2.60,2.22,2.17,2.17,2.03,Upgrade
EPS Growth,2.98%,48.26%,-11.20%,12.97%,21.54%,17.12%,2.30%,0%,6.90%,10.57%,Upgrade
Free Cash Flow Per Share,7.30,6.73,6.97,6.17,5.23,3.49,2.28,1.40,1.40,2.19,Upgrade
Dividend Per Share,1.260,1.210,1.130,1.100,0.960,0.760,0.720,0.671,0.645,0.618,Upgrade
Dividend Growth,4.13%,7.08%,2.73%,14.58%,26.32%,5.56%,7.30%,4.03%,4.37%,3.00%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,45.91%,45.42%,36.21%,38.86%,36.03%,36.81%,35.26%,35.76%,36.01%,35.99%,Upgrade
Profit Margin,35.29%,34.76%,27.73%,29.74%,28.27%,24.71%,22.86%,23.21%,24.76%,23.56%,Upgrade
Free Cash Flow Margin,52.68%,48.94%,60.63%,50.94%,46.57%,32.84%,23.35%,14.78%,15.69%,25.16%,Upgrade
Effective Tax Rate,23.13%,23.46%,23.40%,23.43%,21.53%,32.86%,35.16%,35.09%,31.23%,34.53%,Upgrade
EBITDA,175.85,178.86,137.4,155.37,137.85,133.33,117.53,113.05,104.36,103.3,Upgrade
EBITDA Margin,51.50%,52.45%,46.78%,50.26%,47.29%,48.42%,46.50%,45.64%,44.51%,44.28%,Upgrade
Depreciation & Amortization,19.09,24,31.08,35.27,32.82,31.97,28.4,24.48,19.92,19.35,Upgrade
EBIT,156.76,154.86,106.32,120.1,105.03,101.36,89.13,88.56,84.44,83.94,Upgrade
EBIT Margin,45.91%,45.41%,36.20%,38.85%,36.03%,36.81%,35.26%,35.76%,36.01%,35.99%,Upgrade
