Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,167.25,141.29,123.25,107.97,101,94.35,87.49,64.53,49.76,48.52,Upgrade
Revenue Growth (YoY),18.37%,14.64%,14.15%,6.90%,7.05%,7.83%,35.58%,29.69%,2.55%,-0.47%,Upgrade
Gross Profit,167.25,141.29,123.25,107.97,101,94.35,87.49,64.53,49.76,48.52,Upgrade
"Selling, General & Admin",58.34,49.74,48.61,45.89,44.91,43.45,41.04,34.51,27.23,27.87,Upgrade
Other Operating Expenses,36.07,29.44,24.37,19.01,17.81,17.74,18.41,19.47,10.93,11.18,Upgrade
Operating Expenses,94.41,79.18,72.98,64.9,62.72,61.19,59.45,53.98,38.16,39.06,Upgrade
Operating Income,72.84,62.11,50.27,43.08,38.28,33.16,28.04,10.55,11.6,9.46,Upgrade
Pretax Income,72.84,62.11,50.27,43.08,38.28,33.16,28.04,10.55,11.6,9.46,Upgrade
Income Tax,12.24,10.27,8.4,7.32,5.71,10.45,7.49,2.5,2.63,1.68,Upgrade
Net Income,60.6,51.84,41.88,35.76,32.57,22.71,20.56,8.06,8.97,7.78,Upgrade
Net Income Growth,16.88%,23.80%,17.10%,9.80%,43.41%,10.48%,155.21%,-10.15%,15.23%,-21.67%,Upgrade
Shares Outstanding (Basic),34,28,28,28,28,28,27,27,18,19,Upgrade
Shares Change,20.26%,0.22%,2.14%,-0.39%,0.85%,1.84%,0.28%,46.51%,-1.96%,-0.14%,Upgrade
EPS (Basic),1.79,1.78,1.48,1.29,1.18,0.82,0.76,0.36,0.48,0.41,Upgrade
EPS (Diluted),1.79,1.77,1.47,1.28,1.16,0.82,0.76,0.36,0.48,0.41,Upgrade
EPS Growth,1.13%,20.41%,14.84%,10.34%,41.46%,7.89%,111.11%,-25.00%,17.07%,-22.64%,Upgrade
Free Cash Flow Per Share,2.34,1.89,1.62,1.36,1.38,1.09,0.89,0.21,0.61,0.75,Upgrade
Dividend Per Share,0.650,0.470,0.440,0.380,0.300,0.220,0.160,0.120,0.120,0.120,Upgrade
Dividend Growth,38.30%,6.82%,15.79%,26.67%,36.36%,37.50%,33.33%,0%,0%,-33.33%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,43.55%,43.96%,40.79%,39.90%,37.90%,35.15%,32.05%,16.35%,23.31%,19.50%,Upgrade
Profit Margin,36.23%,36.69%,33.98%,33.12%,32.25%,24.07%,23.50%,12.48%,18.02%,16.03%,Upgrade
Free Cash Flow Margin,47.58%,37.93%,37.22%,34.78%,37.93%,31.85%,27.64%,8.91%,22.67%,29.17%,Upgrade
Effective Tax Rate,16.80%,16.53%,16.70%,16.98%,14.93%,31.51%,26.69%,23.68%,22.70%,17.79%,Upgrade
EBITDA,77.73,65.65,53.39,45.91,41.27,36.3,31.71,13.31,13.58,11.41,Upgrade
EBITDA Margin,46.48%,46.47%,43.32%,42.52%,40.87%,38.47%,36.24%,20.62%,27.29%,23.51%,Upgrade
Depreciation & Amortization,4.9,3.54,3.12,2.84,2.99,3.14,3.67,2.75,1.98,1.95,Upgrade
EBIT,72.84,62.11,50.27,43.08,38.28,33.16,28.04,10.55,11.6,9.46,Upgrade
EBIT Margin,43.55%,43.96%,40.79%,39.90%,37.90%,35.15%,32.05%,16.35%,23.31%,19.50%,Upgrade
