Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Revenue,87.22,74.8,61.68,75.4,74.53,66.89,60.61,53.38,48.91,44.64,Upgrade
Revenue Growth (YoY),16.60%,21.28%,-18.20%,1.16%,11.42%,10.37%,13.56%,9.12%,9.58%,5.21%,Upgrade
Gross Profit,87.22,74.8,61.68,75.4,74.53,66.89,60.61,53.38,48.91,44.64,Upgrade
"Selling, General & Admin",46.87,43.72,39.35,40.99,39.78,36.17,33.92,30.75,25.73,23.79,Upgrade
Other Operating Expenses,14.7,12.5,11.85,10.74,10.03,8.81,7.7,6.67,6.75,6.36,Upgrade
Operating Expenses,61.57,56.22,51.2,51.73,49.81,44.99,41.62,37.43,32.48,30.15,Upgrade
Operating Income,25.65,18.59,10.47,23.67,24.72,21.91,18.99,15.95,16.44,14.48,Upgrade
Pretax Income,25.65,18.59,10.47,23.67,24.72,21.91,18.99,15.95,16.44,14.48,Upgrade
Income Tax,5.56,3.93,2.03,5.03,5.18,9.9,5.89,4.81,4.67,3.92,Upgrade
Net Income,20.09,14.66,8.44,18.65,19.54,12,13.1,11.14,11.77,10.57,Upgrade
Preferred Dividends,0,0,0,0,0,0,0.02,0.12,0.17,0.25,Upgrade
Net Income Common,20.09,14.66,8.44,18.65,19.54,12,13.09,11.02,11.6,10.32,Upgrade
Net Income Growth,37.06%,73.64%,-54.73%,-4.58%,62.80%,-8.27%,18.80%,-5.00%,12.40%,14.50%,Upgrade
Shares Outstanding (Basic),10,10,10,10,9,9,9,6,7,6,Upgrade
Shares Change,0.21%,-2.66%,0.72%,8.59%,0.81%,0.96%,35.42%,-3.30%,15.39%,2.28%,Upgrade
EPS (Basic),2.11,1.51,0.86,1.89,1.98,1.22,1.42,1.60,1.79,1.79,Upgrade
EPS (Diluted),2.10,1.50,0.86,1.88,1.96,1.21,1.41,1.59,1.75,1.75,Upgrade
EPS Growth,40.00%,74.42%,-54.26%,-4.08%,61.98%,-14.18%,-11.32%,-9.25%,0.06%,11.39%,Upgrade
Free Cash Flow Per Share,3.36,2.81,0.99,1.39,2.03,1.64,1.84,1.25,1.44,2.23,Upgrade
Dividend Per Share,0.600,0.540,0.520,0.640,0.620,0.521,0.478,0.446,0.408,0.266,Upgrade
Dividend Growth,11.11%,3.85%,-18.75%,3.23%,19.00%,9.00%,7.17%,9.31%,53.38%,23.15%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,29.41%,24.85%,16.98%,31.39%,33.17%,32.75%,31.33%,29.88%,33.60%,32.45%,Upgrade
Profit Margin,23.04%,19.60%,13.69%,24.73%,26.22%,17.94%,21.59%,20.64%,23.71%,23.11%,Upgrade
Free Cash Flow Margin,36.82%,35.82%,15.66%,17.95%,24.41%,21.72%,26.67%,15.17%,19.82%,29.11%,Upgrade
Effective Tax Rate,21.66%,21.13%,19.39%,21.23%,20.96%,45.21%,31.00%,30.18%,28.40%,27.05%,Upgrade
EBITDA,28.87,21.8,13.9,27.25,27.15,24.27,21.33,18.21,18.21,16.03,Upgrade
EBITDA Margin,33.10%,29.15%,22.54%,36.15%,36.42%,36.27%,35.19%,34.12%,37.23%,35.91%,Upgrade
Depreciation & Amortization,3.22,3.22,3.43,3.58,2.42,2.36,2.34,2.27,1.77,1.55,Upgrade
EBIT,25.65,18.59,10.47,23.67,24.72,21.91,18.99,15.95,16.44,14.48,Upgrade
EBIT Margin,29.41%,24.85%,16.98%,31.39%,33.17%,32.75%,31.33%,29.88%,33.60%,32.45%,Upgrade
