Year,2022,2021,2020
"Selling, General & Admin",7.34,6.46,0.01
Operating Expenses,7.34,6.46,0.01
Operating Income,-7.34,-6.46,-0.01
Other Expense / Income,-28.33,-22.31,-
Pretax Income,20.98,15.85,-0.01
Net Income,20.98,15.85,-0.01
Net Income Growth,32.40%,-,-
Shares Outstanding (Basic),125,125,25
Shares Outstanding (Diluted),125,125,25
Shares Change,-,400.00%,-
EPS (Basic),0.17,0.13,-
EPS (Diluted),0.17,0.13,-
EPS Growth,30.77%,-,-
Free Cash Flow Per Share,-0.02,-0.01,-
EBITDA,20.98,15.85,-0.01
EBIT,20.98,15.85,-0.01
