Year,2022,2021,2020,2019,2018
Revenue,"2,801.77","3,205.91","3,027.95","1,510.97",238.15
Revenue Growth (YoY),-12.61%,5.88%,100.40%,534.46%,-
Cost of Revenue,"1,019.36","1,054.48",742.26,291.31,45.93
Gross Profit,"1,782.41","2,151.44","2,285.69","1,219.66",192.22
"Selling, General & Admin","1,013.13","3,635.29","2,537.71","1,199.49",311.19
Research & Development,291.29,378.99,244.23,214.65,69.2
Operating Expenses,"1,304.42","4,014.28","2,781.94","1,414.14",380.38
Operating Income,477.99,"-1,862.84",-496.25,-194.48,-188.16
Other Expense / Income,-152.71,-67.78,117.47,-15.47,-0.47
Pretax Income,630.69,"-1,795.07",-613.71,-179.01,-187.69
Income Tax,22.98,-220.99,50.16,142.53,21.5
Net Income,607.72,"-1,574.08",-663.87,-321.54,-209.19
Preferred Dividends,0,152.29,443.91,136.84,22.23
Net Income Common,607.72,"-1,726.37","-1,107.78",-458.37,-231.42
Shares Outstanding (Basic),"3,921","2,991","1,175","1,204",840
Shares Outstanding (Diluted),"4,022","2,991","1,175","1,204",840
Shares Change,34.51%,154.60%,-2.40%,43.35%,-
EPS (Basic),1.50,-5.80,-9.40,-3.80,-2.80
EPS (Diluted),1.50,-5.80,-9.40,-3.80,-2.80
Free Cash Flow Per Share,1.93,-3.79,-6.84,-4.54,-2.60
Gross Margin,63.62%,67.11%,75.49%,80.72%,80.71%
Operating Margin,17.06%,-58.11%,-16.39%,-12.87%,-79.01%
Profit Margin,21.69%,-53.85%,-36.59%,-30.34%,-97.18%
Free Cash Flow Margin,26.94%,-35.32%,-26.55%,-36.15%,-91.75%
Effective Tax Rate,3.64%,-,-,-,-
EBITDA,653.67,"-1,776.98",-600.65,-172.32,-185.71
EBITDA Margin,23.33%,-55.43%,-19.84%,-11.40%,-77.98%
Depreciation & Amortization,22.98,18.09,13.07,6.69,1.98
EBIT,630.69,"-1,795.07",-613.71,-179.01,-187.69
EBIT Margin,22.51%,-55.99%,-20.27%,-11.85%,-78.81%
